time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,6,0,0,0,0,-1,0
1,0,4,0,0,0,0,-1,0
2,1,2,-1,0,0,-1,-1,-1
3,3,0,-1,-1,0,-1,-2,-1
4,3,0,-2,-1,0,-1,-2,0
5,3,0,-1,-1,0,-1,-2,0
6,3,1,-1,0,0,-1,-1,0
7,2,3,0,0,0,0,-1,0
8,2,3,0,0,0,0,-1,0
9,3,3,0,0,-1,0,-1,0
10,3,2,0,-1,-2,0,-1,2
11,4,2,0,-1,-3,0,-1,5
12,5,1,0,-2,-4,0,-1,6
13,5,0,0,-2,-4,0,-1,4
14,4,0,-1,-2,-3,0,-1,0
15,3,-1,-1,-1,-3,0,-1,-4
16,1,-2,-2,-1,-2,0,-1,-7
17,0,-3,-2,-1,-1,0,-1,-9
18,-3,-4,-2,-1,-1,0,0,-8
19,-4,-4,-1,0,0,0,0,-6
20,-4,-4,-1,0,0,0,0,-4
21,-4,-3,0,0,0,0,-1,-3
22,-4,-2,0,0,-1,0,-1,-3
23,-4,0,0,0,-1,0,-2,-3
24,-5,0,0,-1,-1,-1,-2,-2
25,-4,1,0,-1,-1,-1,-2,0
26,-3,2,0,-1,-1,-2,-1,2
27,-1,3,0,-1,-1,-2,-1,6
28,0,3,0,-1,-1,-2,0,9
29,2,3,0,-1,-1,-2,0,10
30,3,2,0,-1,0,-2,0,10
31,4,2,0,0,0,-1,0,9
32,4,3,0,0,0,0,0,7
33,3,3,0,0,0,0,0,6
34,2,4,0,0,1,1,0,4
35,0,4,0,1,1,1,0,1
36,-1,3,0,0,1,1,0,-1
37,-3,1,0,0,0,1,0,-4
38,-4,0,0,0,0,0,0,-6
39,-4,0,0,0,0,0,0,-5
40,-3,0,0,0,0,0,0,-2
41,-1,1,0,-1,-1,0,-1,0
42,0,1,-1,-1,-1,-1,-1,0
43,1,1,-1,-1,-1,-1,-1,0
44,2,0,-1,-1,-1,-2,-2,0
45,2,-1,-2,-1,-1,-2,-2,0
46,1,-1,-2,-2,-2,-2,-3,-1
47,0,0,-2,-2,-3,-3,-3,-2
48,0,1,-2,-2,-3,-3,-4,-3
49,-1,2,-1,-2,-3,-2,-4,-4
50,0,2,0,-1,-1,-2,-4,-3
51,0,1,0,0,0,-1,-4,-2
52,2,1,0,0,0,0,-4,0
53,4,2,0,0,1,0,-2,2
54,5,2,0,0,1,0,0,5
55,6,3,0,0,1,0,1,7
56,7,2,0,0,1,0,2,9
57,7,1,0,0,0,0,2,10
58,6,-1,-1,0,0,0,1,11
59,4,-3,-1,0,0,0,1,11
60,1,-4,-1,0,0,0,0,10
61,-1,-5,-1,0,0,-1,0,7
62,-4,-6,0,0,0,-1,0,4
63,-6,-7,0,0,0,-1,0,1
64,-6,-7,0,0,0,-1,0,-1
65,-6,-6,0,0,0,-1,0,-4
66,-4,-5,0,-1,0,-1,-1,-6
67,-1,-3,-1,-1,-1,-1,-1,-7
68,2,-1,-1,-2,-1,-1,-1,-6
69,6,0,0,-2,-2,-1,-1,-4
70,9,3,0,-2,-2,-1,-1,-3
71,8,5,0,-1,-2,0,-1,-2
72,6,7,1,0,-1,0,-1,-2
73,2,7,1,0,0,0,-1,-2
74,0,6,1,0,0,0,-1,-3
75,-2,4,0,0,-1,0,0,-4
