time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,-1,0,0,8,-3,-10,-7
1,-1,-1,0,0,7,-3,-7,-6
2,-1,-1,0,0,6,-3,-4,-5
3,-1,-1,0,0,4,-2,0,-3
4,-1,-1,0,-1,3,-1,1,-1
5,0,-2,0,-1,1,0,3,1
6,0,-2,0,-1,-1,0,3,2
7,0,-2,0,-1,-6,0,4,3
8,0,-2,0,-2,-12,0,4,3
9,0,-2,0,-2,-18,0,4,4
10,0,-2,0,-2,-22,-2,4,4
11,0,-1,-1,-2,-22,-6,4,5
12,0,0,-1,-2,-19,-10,5,5
13,0,1,-1,-1,-15,-12,6,4
14,0,2,-1,0,-11,-12,6,3
15,0,2,-1,0,-5,-10,5,0
16,0,1,-1,0,0,-6,3,-1
17,0,0,-1,0,5,0,1,-3
18,0,0,-1,0,7,3,0,-4
19,-1,0,-1,0,6,8,-1,-3
20,-1,-1,-1,0,3,12,-2,-2
21,-2,-2,-1,-1,0,14,-3,-1
22,-2,-2,-1,-1,-2,15,-3,0
23,-3,-2,-1,-1,-4,14,-4,1
24,-3,-2,-1,-1,-4,11,-4,2
25,-3,-1,0,-1,-2,7,-4,2
26,-2,-1,0,0,0,4,-3,2
27,-2,0,0,0,4,1,-3,0
28,-1,0,0,0,7,0,-3,-3
29,0,0,0,0,8,0,-3,-6
30,0,0,0,0,6,2,-2,-7
31,-1,0,0,0,2,5,-2,-7
32,-2,0,0,-1,-1,8,-1,-7
33,-2,-1,0,-2,-4,9,-1,-6
34,-3,-1,-1,-2,-6,5,-1,-6
35,-2,-1,-1,-2,-6,-1,-2,-5
36,-2,-1,-1,-1,-6,-9,-2,-5
37,-1,0,-1,-1,-7,-16,-3,-3
38,0,0,-1,0,-8,-19,-3,-2
39,0,0,-1,0,-11,-19,-2,0
40,1,0,0,0,-14,-16,-1,3
41,1,0,0,0,-17,-11,0,5
42,2,0,0,0,-18,-6,1,7
43,1,0,0,-1,-17,-2,2,7
44,1,0,0,-1,-14,1,2,6
45,0,0,0,-2,-10,5,1,5
46,0,0,0,-2,-4,7,0,2
47,0,0,0,-1,1,9,0,0
48,0,0,0,-1,6,11,-2,-1
49,0,0,0,-1,9,11,-3,-3
50,0,0,0,-1,10,11,-3,-3
51,0,0,0,0,10,10,-3,-4
52,0,0,0,0,9,9,-2,-4
53,0,0,0,0,9,8,-1,-6
54,0,0,0,0,9,7,0,-7
55,0,0,0,0,7,5,0,-8
56,0,0,-1,0,2,2,0,-9
57,-1,-1,-1,-1,-4,-1,0,-10
58,-1,-1,-1,-2,-12,-5,-2,-10
59,-2,-1,-1,-3,-16,-9,-4,-10
60,-2,-1,-1,-3,-16,-10,-5,-9
61,-2,0,0,-3,-11,-8,-5,-7
62,-1,0,0,-2,-3,-6,-5,-5
63,-1,0,0,-1,3,-3,-4,-2
64,0,0,0,0,7,-1,-3,0
65,0,0,0,0,8,-1,-1,2
66,0,0,-1,0,8,-2,0,4
67,0,0,-1,0,6,-6,0,4
68,0,-1,-1,0,5,-11,0,3
69,-1,-1,-1,0,4,-15,0,2
70,-1,-1,-1,0,2,-17,-2,0
71,-2,-2,-1,0,-1,-14,-3,0
72,-2,-2,-1,-1,-6,-10,-5,-1
73,-2,-2,-1,-1,-9,-4,-6,0
74,-2,-2,0,-1,-7,0,-4,0
75,-1,-2,0,-1,0,1,-1,1
76,0,-1,0,0,7,3,2,2
77,0,-1,0,0,13,4,5,4
78,0,-1,0,0,14,6,7,7
79,0,-1,0,0,12,7,8,9
80,0,0,0,0,9,6,9,11
81,0,0,-1,0,6,4,9,11
82,0,-1,-1,0,3,2,8,10
83,0,-1,-1,0,2,0,7,10
84,0,-1,0,0,1,0,7,10
85,0,-1,0,0,1,3,6,10
86,0,0,0,0,1,6,6,9
87,0,0,0,0,1,9,5,9
88,0,0,0,0,1,9,5,7
89,0,-1,0,0,0,6,4,5
90,0,-1,0,0,-1,0,3,2
91,0,-1,0,0,-4,-7,2,0
92,-1,-1,0,-1,-6,-15,0,-1
93,-1,-1,0,-1,-8,-20,0,-2
94,-1,0,0,-1,-10,-21,0,-3
95,-1,0,0,-1,-13,-18,0,-3
96,-1,0,0,-1,-18,-12,0,-4
97,0,0,0,-1,-24,-5,0,-5
98,0,1,0,-1,-28,0,-1,-7
99,0,0,0,-1,-28,3,-2,-7
100,0,0,0,-1,-23,6,-3,-8
101,0,0,0,-1,-14,9,-5,-7
102,0,0,0,-1,-5,10,-6,-7
103,0,-1,0,-1,2,9,-6,-5
104,0,-1,0,0,7,7,-5,-3
105,0,0,0,0,11,3,-3,-2
106,0,0,0,0,13,0,-2,-2
107,0,0,0,0,13,-1,-2,-4
108,0,-1,0,0,11,-2,-2,-7
109,0,-1,0,0,9,-2,-2,-8
110,0,-1,0,-1,7,-1,-2,-8
111,0,-1,0,-1,5,0,-1,-6
112,0,0,0,-1,3,1,0,-2
113,0,0,0,-1,2,3,0,0
114,0,0,0,-1,2,4,0,1
115,0,0,0,-1,4,4,0,1
116,0,0,0,0,6,4,0,0
117,0,0,-1,0,8,3,-1,-2
118,0,0,-1,0,9,1,-1,-5
119,0,0,-1,0,8,0,-1,-6
120,0,0,-1,0,6,-1,-1,-5
121,0,0,-1,-1,3,0,-1,-2
122,0,0,0,-2,0,5,0,1
123,0,0,0,-3,-2,9,0,4
124,0,0,0,-3,-4,12,0,7
125,0,0,0,-3,-4,12,1,7
126,0,0,0,-2,-4,10,2,6
127,0,0,0,-2,-3,6,3,5
128,0,0,0,-1,-1,3,3,3
129,0,0,0,0,0,0,2,1
130,0,0,0,0,0,-1,1,0
131,0,0,0,0,0,-4,0,1
132,0,0,0,0,-3,-6,0,4
133,0,0,0,0,-8,-9,0,11
134,0,-1,0,-1,-13,-12,0,17
135,0,-1,0,-2,-16,-12,1,21
136,0,-1,-1,-2,-16,-10,1,20
137,-1,-1,-1,-2,-11,-6,0,14
138,-2,-1,-1,-1,-3,-2,0,6
139,-2,-1,-1,0,5,0,-2,-1
140,-2,-1,-1,0,12,-1,-4,-6
141,-1,-1,-1,0,16,-4,-5,-8
142,-1,0,-1,0,16,-6,-5,-8
143,0,0,0,0,13,-6,-5,-7
144,0,0,0,0,7,-5,-4,-6
145,0,0,0,-1,1,-2,-1,-4
146,0,0,0,-2,-3,0,1,-3
147,0,0,0,-2,-6,2,3,-3
148,0,0,0,-2,-6,1,3,-5
149,0,0,0,-2,-5,0,2,-9
150,0,0,0,-1,-2,0,0,-12
151,0,0,0,-1,0,0,-3,-15
152,0,0,0,0,3,0,-5,-16
153,0,0,0,0,4,-2,-6,-15
154,0,0,0,0,3,-5,-6,-12
155,0,0,1,0,1,-8,-4,-9
156,0,0,1,0,0,-10,-3,-6
157,0,0,1,0,-1,-10,-2,-3
158,0,0,0,0,-2,-7,-1,-1
159,0,0,0,0,-4,-3,0,0
160,0,-1,0,0,-7,1,0,1
161,-1,-1,0,-1,-11,6,2,4
162,-1,-2,0,-1,-15,9,3,6
163,-2,-3,0,-1,-16,11,3,8
164,-2,-3,0,-1,-13,9,3,9
165,-1,-3,0,0,-7,4,2,8
166,-1,-2,0,0,0,-1,1,7
167,0,-2,0,0,6,-5,0,5
168,0,-1,0,1,10,-7,0,4
169,0,-1,0,1,11,-6,-1,2
170,0,-1,0,1,12,-6,-2,0
171,0,0,0,1,14,-8,-4,0
172,-1,0,0,1,17,-11,-5,-1
173,-1,0,0,1,19,-14,-6,-1
174,-1,0,0,1,19,-15,-5,0
175,0,0,-1,1,14,-13,-4,0
176,0,0,-1,0,8,-10,-3,2
177,0,0,-1,0,2,-6,-1,3
178,0,0,-1,0,-1,-4,-1,4
179,0,0,-1,0,-5,-3,-1,4
180,0,0,-1,0,-7,-4,-2,3
181,0,0,-1,0,-8,-3,-3,1
182,0,0,-1,0,-9,-2,-3,-1
183,0,0,-1,0,-9,0,-3,-4
184,0,0,-1,0,-12,2,-4,-6
185,-1,0,-1,-1,-17,3,-5,-8
186,-1,0,-1,-2,-24,3,-7,-8
187,-2,-1,-2,-3,-32,2,-9,-8
188,-2,-1,-2,-4,-36,1,-10,-7
189,-3,-1,-2,-4,-34,1,-8,-6
190,-2,-1,-1,-3,-26,1,-5,-3
191,-2,-1,-1,-2,-14,2,0,-1
192,-1,0,-1,-1,-4,3,3,0
193,-1,0,-1,-1,1,4,5,1
194,0,0,-1,0,3,6,6,1
195,0,0,-1,0,4,6,6,2
196,0,0,-1,0,5,5,5,5
197,0,0,-1,0,6,3,5,9
198,0,-1,0,0,8,1,3,13
199,0,-1,0,0,9,0,2,15
200,0,-1,0,0,10,-1,0,13
201,0,-1,0,0,10,0,-3,7
202,0,-1,0,0,10,0,-5,0
203,0,-1,0,0,10,0,-5,-5
204,0,-1,0,0,10,0,-4,-7
205,0,-1,0,0,10,-1,-2,-7
206,0,-1,0,0,9,-2,0,-6
207,0,-1,-1,0,8,-4,0,-5
208,0,-1,-1,0,6,-6,1,-4
209,-1,-1,-1,0,4,-9,0,-4
210,-1,-1,-1,0,2,-10,0,-4
211,-1,-1,-1,0,0,-10,0,-3
212,-1,-1,-1,0,-2,-10,-2,-3
213,0,0,-1,-1,-6,-9,-3,-3
214,0,0,-1,-2,-12,-9,-3,-2
215,-1,-1,-1,-2,-20,-12,-3,-1
216,-1,-1,-1,-3,-26,-15,-3,-1
217,-1,-1,-1,-3,-27,-16,-3,-2
218,-1,-1,-1,-3,-21,-14,-5,-3
219,-1,-1,0,-2,-10,-9,-6,-4
220,0,-1,0,-1,0,-2,-7,-5
221,0,0,0,0,7,3,-6,-6
222,0,0,0,0,11,9,-3,-7
223,-1,0,0,0,11,14,0,-8
224,-1,0,0,0,10,16,1,-8
225,-1,0,0,0,8,16,1,-8
226,-1,-1,0,0,7,14,1,-7
227,-1,-1,0,0,6,11,1,-4
228,0,-1,-1,0,6,8,2,-2
229,0,0,-1,0,6,6,3,0
230,0,0,-1,0,5,4,3,0
231,0,0,-1,-1,2,1,1,0
232,0,0,-1,-1,0,0,-2,-3
233,0,1,-1,-1,-3,-1,-4,-5
234,0,1,-1,-1,-3,-2,-5,-5
235,0,0,-1,0,-1,-1,-4,-4
236,0,0,-1,0,3,0,-2,-3
237,0,0,-1,0,8,0,0,-2
238,0,0,0,0,11,2,3,-2
239,0,0,0,1,11,3,4,-3
240,0,-1,0,0,9,4,5,-4
241,0,-1,0,0,5,5,5,-4
242,0,-2,0,0,2,6,4,-2
243,-1,-2,0,0,1,6,3,0
244,-1,-2,0,0,1,6,2,3
245,-1,-2,0,0,2,6,1,4
246,-2,-2,0,0,4,7,0,4
247,-2,-2,0,0,4,7,0,3
248,-2,-1,0,0,3,5,-2,3
249,-2,-1,0,0,1,3,-3,2
250,-2,-1,0,0,0,0,-4,1
251,-2,-1,0,0,-1,-2,-3,0
252,-1,-1,-1,-1,-1,-3,-3,-2
253,-1,-1,-1,-1,-1,-4,-3,-3
254,-1,-1,-2,-1,-1,-4,-4,-3
255,-1,-1,-2,-1,-1,-4,-4,-3
256,-1,-1,-2,0,-1,-4,-3,-1
257,0,-1,-2,0,-1,-4,-3,0
258,0,-1,-2,0,-1,-4,-3,0
259,0,-1,-2,0,-2,-4,-4,0
260,0,-1,-2,0,-4,-4,-5,-1
261,0,-1,-2,-1,-7,-3,-6,-1
262,0,-1,-2,-1,-13,-2,-6,1
263,0,-1,-2,-2,-19,-2,-3,7
264,0,-1,-1,-2,-24,-3,0,13
265,0,-1,-1,-2,-25,-5,3,16
266,0,-1,-1,-2,-22,-8,5,15
267,0,0,-1,-1,-15,-10,7,11
268,0,0,0,0,-7,-12,7,6
