time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,7,3,-4,23,28,-3,2,-2
1,-17,-21,-3,7,-17,-25,49,-12
2,-30,-11,0,-22,-15,39,-9,-35
3,-30,-11,0,-22,-15,39,-9,-35
4,-30,-11,0,-22,-15,39,-9,-35
5,19,-1,2,9,65,24,-44,-4
6,19,-1,2,9,65,24,-44,-4
7,19,-1,2,9,65,24,-44,-4
8,19,-1,2,9,65,24,-44,-4
9,19,-1,2,9,65,24,-44,-4
10,-27,-4,-3,0,25,27,-6,-3
11,-27,-4,-3,0,25,27,-6,-3
12,-21,7,2,-1,-5,-58,-8,7
13,24,-15,-3,-6,-20,-3,-15,13
14,24,-15,-3,-6,-20,-3,-15,13
15,24,-15,-3,-6,-20,-3,-15,13
16,4,-10,-2,1,-10,7,9,4
17,4,-10,-2,1,-10,7,9,4
18,4,-10,-2,1,-10,7,9,4
19,4,-10,-2,1,-10,7,9,4
20,4,-10,-2,1,-10,7,9,4
21,16,2,1,-2,-13,32,2,2
22,16,2,1,-2,-13,32,2,2
23,6,13,0,-4,-2,-64,-31,18
24,6,13,0,-4,-2,-64,-31,18
25,16,-8,2,2,17,-6,-11,8
26,16,-8,2,2,17,-6,-11,8
27,16,-8,2,2,17,-6,-11,8
28,16,-8,2,2,17,-6,-11,8
29,-26,4,1,10,15,-8,-21,8
30,-26,4,1,10,15,-8,-21,8
31,-26,4,1,10,15,-8,-21,8
32,-33,-22,-10,-17,-6,-10,3,-11
33,-77,8,5,-10,13,40,-10,0
34,-77,8,5,-10,13,40,-10,0
35,-1,5,-2,-8,-40,-67,-35,6
36,-1,5,-2,-8,-40,-67,-35,6
37,-1,5,-2,-8,-40,-67,-35,6
38,-4,-9,-5,-6,-15,24,2,-6
39,-4,-9,-5,-6,-15,24,2,-6
40,-4,-9,-5,-6,-15,24,2,-6
41,34,-24,-6,20,16,-11,19,-4
42,34,-24,-6,20,16,-11,19,-4
43,34,-24,-6,20,16,-11,19,-4
44,34,-24,-6,20,16,-11,19,-4
45,4,1,-3,-29,4,1,2,-7
46,4,1,-3,-29,4,1,2,-7
47,4,1,-3,-29,4,1,2,-7
48,-42,7,-3,-8,16,-40,-27,-16
49,-42,7,-3,-8,16,-40,-27,-16
50,-42,7,-3,-8,16,-40,-27,-16
51,-42,7,-3,-8,16,-40,-27,-16
52,5,1,0,-5,-6,53,-8,4
53,5,1,0,-5,-6,53,-8,4
54,5,1,0,-5,-6,53,-8,4
55,5,1,0,-5,-6,53,-8,4
56,13,-21,-2,5,9,11,15,-6
57,-17,-2,-4,0,-44,13,5,5
58,-17,-2,-4,0,-44,13,5,5
59,-17,-2,-4,0,-44,13,5,5
60,-17,-2,-4,0,-44,13,5,5
61,5,-3,0,3,5,-6,38,-1
62,5,-3,0,3,5,-6,38,-1
63,5,-3,0,3,5,-6,38,-1
64,0,3,3,-2,-31,-50,8,9
65,0,3,3,-2,-31,-50,8,9
66,0,3,3,-2,-31,-50,8,9
67,0,3,3,-2,-31,-50,8,9
68,0,3,3,-2,-31,-50,8,9
69,53,12,2,46,32,-59,-48,5
70,0,46,6,-7,26,59,-64,-17
71,1,5,-1,0,5,41,3,-14
72,-7,-3,-4,8,15,39,-32,-8
73,-7,-3,-4,8,15,39,-32,-8
74,-7,-3,-4,8,15,39,-32,-8
75,-36,-7,3,3,21,14,-17,-11
76,-36,-7,3,3,21,14,-17,-11
77,-36,-7,3,3,21,14,-17,-11
78,-36,-7,3,3,21,14,-17,-11
79,-36,-7,3,3,21,14,-17,-11
80,15,-10,3,13,26,45,-16,9
81,15,-10,3,13,26,45,-16,9
