time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-21,-17,-2,-2,-16,-4,30,-19
1,-22,-16,-1,-5,-16,3,23,-22
2,-24,-14,-1,-10,-15,13,13,-25
3,-26,-13,0,-15,-15,24,4,-29
4,-28,-12,0,-17,-15,29,0,-31
5,16,-1,1,8,63,24,-42,-3
6,14,-1,1,8,61,24,-40,-3
7,10,-1,1,7,57,24,-36,-3
8,5,-1,0,6,53,24,-32,-3
9,1,-2,0,5,49,25,-29,-3
10,-16,0,0,-1,4,-18,-8,4
11,-12,-1,0,-1,0,-19,-9,5
12,-4,-3,0,-2,-5,-20,-10,7
13,3,-6,-1,-3,-10,-19,-11,9
14,8,-8,-1,-4,-13,-17,-12,10
15,2,4,0,-1,-3,-5,8,0
16,2,1,0,0,-4,-3,8,0
17,3,-2,0,0,-6,0,8,1
18,3,-6,-1,0,-8,3,8,2
19,3,-8,-1,0,-9,5,8,3
20,13,4,0,-2,-8,3,-7,6
21,12,4,0,-2,-6,-4,-10,8
22,11,4,0,-2,-2,-15,-14,9
23,11,4,0,-1,1,-24,-17,11
24,11,3,0,-1,3,-28,-18,11
25,10,-6,1,3,16,-6,-12,8
26,6,-5,1,3,16,-6,-13,8
27,0,-3,1,5,16,-6,-14,8
28,-7,-1,1,6,15,-7,-16,8
29,-12,0,1,7,15,-7,-17,8
30,-25,0,-1,-2,4,-8,-10,0
31,-25,1,0,-3,2,-8,-11,0
32,-25,3,0,-5,-1,-11,-13,1
33,-25,5,0,-6,-6,-14,-15,1
34,-25,6,0,-7,-9,-17,-17,2
35,5,0,-3,-5,-25,-29,-19,2
36,5,-2,-3,-4,-22,-18,-15,1
37,5,-4,-4,-4,-17,-2,-8,0
38,4,-6,-4,-4,-13,11,-2,-2
39,3,-7,-4,-4,-12,18,0,-3
40,20,-14,-3,11,5,-3,18,0
41,19,-15,-3,11,3,-4,18,0
42,16,-15,-3,9,-2,-5,19,-3
43,12,-13,-3,6,-9,-5,19,-5
44,8,-12,-3,4,-15,-5,20,-6
45,-11,2,-3,-22,7,-12,-7,-9
46,-16,3,-3,-19,9,-16,-10,-10
47,-23,4,-3,-16,11,-23,-15,-12
48,-31,5,-3,-12,13,-30,-20,-13
49,-35,6,-3,-10,14,-34,-22,-14
50,-2,0,-1,-3,7,5,-27,-6
51,0,0,-1,-3,5,14,-25,-4
52,3,0,0,-3,1,27,-20,-1
53,5,0,0,-3,-1,38,-15,0
54,6,0,0,-4,-3,44,-12,2
55,-8,0,-2,-1,-29,28,0,4
56,-10,-1,-2,-1,-32,24,1,4
57,-12,-1,-3,0,-36,20,2,4
58,-14,-1,-3,0,-40,16,3,4
59,-15,-1,-3,0,-42,14,4,4
60,4,-2,0,2,0,-12,33,0
61,3,-1,0,1,-3,-16,31,1
62,3,0,1,1,-9,-23,26,2
63,2,0,1,0,-15,-30,21,4
64,1,1,2,0,-19,-35,17,5
65,0,3,2,0,-22,-36,10,6
66,-1,4,1,0,-17,-26,9,5
67,-1,7,1,0,-8,-10,6,1
68,-2,11,1,0,1,6,1,-1
69,-2,14,1,0,7,18,-2,-4
70,-2,0,-3,3,8,38,-18,-9
71,-1,-1,-3,3,5,37,-19,-8
72,1,-3,-4,1,0,35,-22,-6
73,4,-4,-4,0,-6,33,-23,-4
74,7,-6,-4,-2,-11,31,-23,-3
75,-33,-7,3,3,21,15,-16,-10
76,-31,-7,3,3,21,16,-16,-9
77,-26,-7,3,4,21,19,-16,-7
78,-20,-7,3,5,22,23,-16,-5
79,-16,-8,3,6,22,25,-16,-3
80,-9,-2,0,1,1,-15,-24,6
81,-10,-3,0,1,0,-18,-28,6
82,-12,-5,-1,0,-3,-22,-34,6
83,-12,-7,-2,0,-6,-24,-40,6
84,-13,-8,-3,1,-7,-24,-44,5
85,-12,13,0,30,6,-20,19,6
86,-11,12,0,29,5,-18,22,5
87,-9,10,-1,26,4,-14,28,4
88,-6,8,-1,22,2,-9,36,3
89,-5,6,-2,20,0,-5,41,2
90,-2,-8,-3,-2,1,8,56,-4
91,-5,-7,-2,-4,2,4,49,-3
92,-9,-5,-1,-7,3,-1,39,-3
93,-12,-2,0,-10,3,-7,31,-2
