time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,24.33515975,14.51895313,1.095445115,11.340194,15.40779024,17.94993036,17.96663575,25.58124313
1,10.75174404,1.264911064,0.774596669,6.899275324,56.83132939,24.20330556,36.12478374,3
2,9.889388252,4.69041576,0.632455532,2.48997992,7.874007874,18.62793601,10.09950494,7.362064928
3,2.645751311,4.91934955,0.632455532,0.447213595,6.418722614,3.687817783,8,1.673320053
4,11.62755348,3.820994635,0,1.673320053,4.774934555,17.94435844,13.84196518,9.19782583
5,8.111719916,3.768288736,1,5.059644256,15.60769041,6.418722614,14.51895313,8
6,25,3.768288736,0.447213595,4.959838707,5.253570215,12.11610498,13.44618905,1.095445115
7,4.472135955,4.582575695,3.633180425,4.219004622,18.4986486,17.96663575,11.43678276,1.897366596
8,15.65247584,13.8491877,3,8.660254038,8.294576541,4.472135955,18.81488772,3.741657387
9,24.86764967,4.242640687,3,16.40121947,11.09954954,24.43358345,15.86190405,11.74734012
10,3.847076812,0,0.632455532,3.224903099,4.123105626,29.42787794,20.60582442,3.376388603
11,12.07476708,0.894427191,2.645751311,0.632455532,36.12478374,21.03330692,2.449489743,4
12,2.792848009,1.095445115,1.095445115,1.095445115,11.62755348,24.71436829,26.29068276,3.033150178
13,1.414213562,8.843076388,1.264911064,0,13.31915913,22.054478,6.6633325,3.974921383
14,3.768288736,3.521363372,3.633180425,2.144761059,7.014271167,34.89412558,21.10450189,6.418722614
15,26.00769117,7.211102551,3,4.358898944,21.40560674,19.97998999,16,7.26636085
16,11.296017,5.495452666,1.673320053,0.774596669,4.358898944,20.90454496,34.79080338,5.813776741
17,9.022194855,10.12916581,1.095445115,25.69435736,4.024922359,14.32480366,30.35127674,4.242640687
18,9.486832981,5.347896783,1.732050808,7.615773106,2.323790008,6.782329983,41.70131892,2.898275349
19,9.777525249,3.633180425,4,14.02854233,12.46595363,5.347896783,15.87450787,0.632455532
20,9.869143833,5.899152482,3.286335345,7.784600182,10.0895986,3.224903099,29.72541001,0.774596669
21,2.720294102,3.376388603,1.341640786,12.07476708,13.87083271,10.05982107,12.92284798,2.323790008
22,9.989994995,5.621387729,2.19089023,13.62350909,7,35.21931288,21.55458188,2.645751311
23,34.72751071,15.48547707,4.266145802,10.60188662,5.329165038,44.21312022,17.84936974,2.898275349
24,26.76564963,9.518403227,2.683281573,4.195235393,5.848076607,21.40560674,7.668115805,3.405877273
25,15.56920036,9.230384607,3.033150178,22.23510738,49.75138189,14.78512766,13.28909327,3.633180425
26,7.375635566,9.412757301,4.049691346,33.64817974,50.02399424,16.91153453,40.48950481,2.898275349
27,1.414213562,10.34408043,1.673320053,6.244997998,9.97997996,12.95376393,35.9110011,3
28,8.966604709,9.92975327,3.130495168,12.29634092,5.639148872,41.70851232,43.02092514,3.286335345
29,12.8996124,8.876936408,3.224903099,9.38083152,16.60120478,21.91346618,17.73696705,2.607680962
30,20.48902145,6.066300355,1,2.645751311,14.80540442,7.83581521,23.57541092,3.405877273
31,17.05872211,11.78982612,1,3.16227766,7.113367698,3.847076812,32.64046568,2.144761059
32,14.03566885,5.495452666,3,1.897366596,1.949358869,8.426149773,70.22677552,10.61131472
33,4.049691346,1.897366596,0.632455532,8.35463943,24.42949038,16.38291793,10.38267788,0.632455532
34,9.726253133,2.28035085,1,9.486832981,17.74260409,12.95376393,6.526867549,1.095445115
35,10.35374328,5.830951895,1.183215957,4.123105626,20.01999001,14.60821687,3.974921383,2
36,10.31503757,8.797726979,3,6.708203932,3.405877273,6.212889827,22.58760722,0.632455532
37,14.33875866,2.28035085,2.645751311,3.898717738,4.449719092,4.647580015,29.31893586,1.095445115
38,11.28716085,4.91934955,0,0.632455532,26.64582519,3.31662479,44.9310583,2.449489743
39,18.01110768,11.340194,0.774596669,16.78094157,18.67083287,23.05645246,11.88276062,3.872983346
40,41.43187179,2.449489743,2.607680962,27.49181696,16.16786937,13.70401401,4,2
41,25.10378458,13.29661611,1.673320053,6,10.43072385,5.796550698,27.66224864,1.341640786
42,12,7.483314774,3.130495168,12.75931033,4.147288271,7.496665926,15.91225942,0
43,16.40121947,8.648699324,2.449489743,11.35781669,7.169379332,14.89966443,27.59347749,2.607680962
44,14.21970464,0.447213595,1.264911064,0.774596669,1,12.6964562,24.33515975,6.066300355
45,3.794733192,3.033150178,2.19089023,3.346640106,3.949683532,32.8390012,20.71231518,2.19089023
46,13.28909327,5.621387729,2,4.91934955,0.447213595,10.9270307,4.123105626,5.422176685
47,39.26066734,3.872983346,2,12.12435565,10.12916581,6.767569726,11.22497216,4.91934955
48,11.61895004,7.64198927,1.095445115,0,5.291502622,12.9614814,7.668115805,1.843908891
49,22.60088494,5.440588203,2.19089023,3.033150178,22.60088494,28.04995544,4.857983121,4.857983121
50,4.358898944,3.768288736,1.341640786,1.341640786,4.049691346,36.8998645,10.9270307,0.447213595
51,23.17326045,3.405877273,1,3,14.95994652,31.60379724,19.06305327,3.633180425
52,27.77408864,2.683281573,0,4.711687596,3,44.91102315,13.93556601,1.095445115
53,25.33771892,7.615773106,0.774596669,1.673320053,5.585696018,28.44292531,34.1994152,4
54,11.23387734,12.22292927,1,1.341640786,9.088454214,25.08385935,10.77961038,0.447213595
55,20.10472581,5.916079783,2,3.130495168,8.921883209,5,20.04993766,0
56,21.50813799,4.939635614,1.341640786,1.673320053,3.687817783,6.14817046,9.622889379,0.632455532
57,7.141428429,22.82980508,4.626013402,3.31662479,31.84022613,8.23407554,8.602325267,0
58,3.376388603,12.04989627,2,2.449489743,1.341640786,10.38267788,19.68755952,0
59,20,4.837354649,0.447213595,5.458937626,20.41568025,12.80624847,4.098780306,4.242640687
60,32.55149766,8.865664104,1.095445115,4.123105626,11.54989177,13.28156617,22.50333309,1.673320053
61,15.2446712,4.91934955,1.414213562,1.095445115,13.47590442,2,11.48041811,0
62,25.35744467,10.34408043,1.095445115,1.673320053,4.604345773,34.7764288,17.69745744,4.358898944
63,24.66981962,16.00624878,0,6.752777206,30.19933774,26.62329807,25.69435736,3
64,16.9292646,5.621387729,1.949358869,1.095445115,5.709640969,22.89978166,23.71497417,3.820994635
65,8.318653737,2.19089023,3.435112807,3.286335345,0.774596669,25.06391829,4.358898944,0.774596669
66,5.253570215,3.974921383,2,1.341640786,5.310367219,19.16246331,19.12589867,3.31662479
67,7.141428429,4.358898944,1.095445115,9.022194855,14.97998665,19.9047733,15.29705854,0.632455532
68,8.099382693,7.720103626,1.095445115,1.949358869,5.039841267,34.86545568,18.72965563,0.632455532
69,8.173126697,5.621387729,0,1.673320053,3.31662479,6.292853089,5.93295879,1.897366596
70,17.15225933,4.266145802,2.792848009,7.127411872,3.872983346,3.768288736,23.41367122,3.130495168
71,17,4.098780306,1.341640786,3.633180425,1,10.01998004,15.53705249,3.741657387
72,1.673320053,3.820994635,0.774596669,2.898275349,1.673320053,4.774934555,11.5931014,0.632455532
73,12.95376393,2.569046516,0.447213595,5.07937004,17.33205123,16.31563667,38.72466914,2
74,19.09450183,10.79814799,0.447213595,14.18449858,11.85748709,17.49857137,17.46997424,7.071067812
75,5.621387729,7.886697661,1.673320053,8.173126697,8.544003745,9.186947262,4.75394573,7
