time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-4,1,1,-5,-13,-13,1,-3
1,-1,1,0,-6,-13,-16,3,-2
2,2,2,0,-7,-11,-18,6,-1
3,6,2,-1,-8,-9,-19,9,0
4,8,1,-3,-7,-6,-18,9,0
5,10,1,-3,-6,-6,-17,6,-1
6,11,1,-2,-5,-8,-15,1,-1
7,13,1,0,-5,-13,-13,-3,-1
8,16,2,0,-5,-19,-12,-7,0
9,17,2,0,-5,-22,-9,-7,0
10,16,1,0,-5,-21,-7,-6,0
11,13,0,0,-6,-19,-5,-4,0
12,8,-2,0,-6,-17,-4,-4,0
13,3,-3,0,-7,-15,-5,-7,-1
14,0,-4,1,-7,-14,-5,-12,-1
15,-4,-2,2,-6,-9,-4,-19,-1
16,-7,0,3,-3,-2,-3,-24,-2
17,-7,1,3,0,4,-1,-25,-1
18,-6,3,2,4,8,-1,-20,-1
19,-4,2,0,6,9,-1,-12,-1
20,-4,1,-1,6,9,0,-4,0
21,-6,0,-3,5,9,2,0,0
22,-6,0,-3,3,9,7,0,0
23,-5,0,-4,1,7,11,-1,0
24,-4,0,-3,0,3,14,-3,0
25,-4,1,-3,0,-1,15,-4,0
26,-6,1,-2,0,-6,13,-4,0
27,-6,1,-1,0,-9,9,-4,0
28,-4,0,-1,0,-10,3,-3,0
29,0,-1,0,-1,-10,-2,-1,0
30,4,-2,0,-4,-9,-7,0,0
31,8,-2,0,-6,-7,-9,3,0
32,9,-2,1,-8,-6,-8,5,0
33,7,-1,1,-8,-5,-5,5,0
34,3,-1,1,-6,-5,-1,5,0
35,-1,-1,1,-3,-6,1,3,0
36,-4,-2,1,0,-7,1,1,1
37,-5,-3,0,2,-8,-3,-2,1
38,-5,-3,0,2,-9,-12,-7,1
39,-3,-4,0,0,-9,-22,-13,2
40,0,-3,2,-6,-9,-29,-19,1
41,3,-2,3,-13,-9,-32,-22,1
42,7,-1,5,-19,-8,-31,-23,1
43,9,0,5,-22,-5,-27,-19,0
44,11,0,5,-20,0,-19,-13,0
45,12,1,5,-12,8,-5,-4,0
