time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-17,2,3,-12,-30,6,-5,-5
1,-6,0,0,26,22,-22,-1,-7
2,11,3,2,-33,-36,-33,10,3
3,11,3,2,-33,-36,-33,10,3
4,8,3,-10,16,23,-10,22,0
5,8,3,-10,16,23,-10,22,0
6,28,-3,-3,-46,-32,-29,-2,-3
7,0,1,7,4,-2,3,-12,-6
8,-11,2,-3,20,-10,-23,-17,-9
9,48,7,4,-19,-49,-12,-13,9
10,48,7,4,-19,-49,-12,-13,9
11,-3,-3,-3,1,0,4,5,-3
12,-3,-3,-3,1,0,4,5,-3
13,-3,-3,-3,1,0,4,5,-3
14,11,-13,1,-22,-46,-23,-13,0
15,11,-13,1,-22,-46,-23,-13,0
16,-26,7,8,4,23,10,-43,-4
17,-26,7,8,4,23,10,-43,-4
18,-26,7,8,4,23,10,-43,-4
19,34,5,-4,14,-3,-18,-1,3
20,34,5,-4,14,-3,-18,-1,3
21,-63,-8,-4,8,26,14,38,-3
22,-11,-9,-5,-8,4,-7,3,-8
23,3,4,-5,1,16,28,-16,2
24,3,4,-5,1,16,28,-16,2
25,16,1,-3,16,-3,1,6,10
26,-23,3,-2,-15,-19,25,-6,-5
27,-23,3,-2,-15,-19,25,-6,-5
28,-3,2,-1,14,-6,2,-4,0
29,-3,2,-1,14,-6,2,-4,0
30,9,-15,0,-12,-23,-37,-4,0
31,16,-1,2,-12,-3,-8,8,0
32,16,-1,2,-12,-3,-8,8,0
33,16,-1,2,-12,-3,-8,8,0
34,16,-1,2,-12,-3,-8,8,0
35,-29,-1,-1,-9,-12,-3,11,1
36,-2,0,6,8,-4,33,-3,1
37,-2,0,6,8,-4,33,-3,1
38,-11,-8,-7,8,-14,-38,0,3
39,-11,-8,-7,8,-14,-38,0,3
40,0,-5,6,-5,-8,-36,-37,2
41,0,-5,6,-5,-8,-36,-37,2
42,14,2,7,-35,-11,-33,-23,1
43,14,2,7,-35,-11,-33,-23,1
44,14,2,7,-35,-11,-33,-23,1
45,14,2,7,-35,-11,-33,-23,1
46,7,-1,4,14,31,14,23,-3
47,7,-1,4,14,31,14,23,-3
48,30,10,-1,36,69,111,28,10
49,30,10,-1,36,69,111,28,10
50,-6,-5,-7,-15,-7,-22,15,0
51,-6,-5,-7,-15,-7,-22,15,0
52,-6,-5,-7,-15,-7,-22,15,0
53,6,3,0,5,-44,-14,9,-1
54,-21,-8,2,29,5,41,16,-6
55,-21,-8,2,29,5,41,16,-6
56,-21,-8,2,29,5,41,16,-6
57,5,0,-3,3,-13,-15,-17,-4
58,5,0,-3,3,-13,-15,-17,-4
59,14,-11,3,-7,-8,-96,-75,4
60,-15,3,0,-19,7,7,-6,5
61,-15,3,0,-19,7,7,-6,5
62,-15,3,0,-19,7,7,-6,5
63,-19,0,-7,-17,-40,14,-12,-9
64,-19,0,-7,-17,-40,14,-12,-9
65,11,-8,-4,-11,-19,-3,-10,-6
66,11,-8,-4,-11,-19,-3,-10,-6
67,-11,1,12,8,-4,-33,-18,-5
68,-11,1,12,8,-4,-33,-18,-5
69,-38,-4,2,-16,-3,-2,-11,0
70,-38,-4,2,-16,-3,-2,-11,0
71,-38,-4,2,-16,-3,-2,-11,0
72,-27,-10,-7,10,17,-27,-5,-7
73,-27,-10,-7,10,17,-27,-5,-7
74,-27,-10,-7,10,17,-27,-5,-7
75,45,2,-4,-5,-30,-42,26,1
76,45,2,-4,-5,-30,-42,26,1
77,22,1,3,-19,-39,40,21,4
78,22,1,3,-19,-39,40,21,4
79,22,1,3,-19,-39,40,21,4
80,2,0,-1,19,39,25,-3,2
81,2,0,-1,19,39,25,-3,2
82,19,-5,1,-23,-16,16,-18,-5
83,19,-5,1,-23,-16,16,-18,-5
84,-18,5,-10,6,6,-15,20,1
85,-18,5,-10,6,6,-15,20,1
86,-21,-3,0,11,29,-14,6,-3
87,-21,-3,0,11,29,-14,6,-3
88,13,-4,1,-8,-24,58,8,0
89,13,-4,1,-8,-24,58,8,0
90,49,9,4,0,8,-40,18,7
91,-5,0,-7,-20,-17,4,-9,-3
92,8,1,1,64,63,41,36,1
93,9,-2,-3,-16,-7,3,0,0
94,-16,-8,-11,15,-4,-57,12,3
95,22,1,-1,-3,-5,8,-8,-2
96,-11,1,0,9,-3,-2,9,0
97,-11,1,0,9,-3,-2,9,0
98,-11,1,0,9,-3,-2,9,0
99,15,1,-1,6,-7,-15,30,7
100,15,1,-1,6,-7,-15,30,7
101,55,3,-5,3,24,52,21,1
102,-49,-10,-3,9,18,-8,-39,-11
103,-49,-10,-3,9,18,-8,-39,-11
104,13,-5,-1,-2,2,45,4,-5
105,13,-5,-1,-2,2,45,4,-5
106,29,0,-4,-19,-25,-78,-41,0
107,29,0,-4,-19,-25,-78,-41,0
108,17,2,0,-6,6,-32,-2,4
109,64,2,4,-11,-31,9,9,4
110,1,-1,-5,-4,-79,9,0,2
111,1,-1,-5,-4,-79,9,0,2
112,7,-6,-5,0,0,-29,9,-1
113,-18,-13,-5,14,62,27,-5,1
114,-18,-13,-5,14,62,27,-5,1
115,12,8,4,11,48,-35,2,1
116,12,8,4,11,48,-35,2,1
117,-10,-4,-4,-10,-35,39,-16,-10
118,-10,-4,-4,-10,-35,39,-16,-10
119,9,0,6,-18,28,7,2,3
120,4,3,-4,10,-37,6,-22,-2
121,4,3,-4,10,-37,6,-22,-2
122,21,3,-2,11,60,33,-5,2
123,21,3,-2,11,60,33,-5,2
124,-79,2,7,3,-33,12,4,-3
125,10,5,-7,-2,-33,26,10,-1
126,10,5,-7,-2,-33,26,10,-1
127,17,0,-4,5,30,-46,17,1
128,17,0,-4,5,30,-46,17,1
129,-38,-2,-5,-18,-36,-31,0,-3
130,-10,2,2,11,42,-7,-18,-4
131,-11,-5,2,4,29,-10,18,-3
132,-4,-5,3,-22,-55,-23,-22,1
133,-4,-5,3,-22,-55,-23,-22,1
134,26,-4,5,1,3,-11,-10,0
135,-63,-2,3,6,-38,2,10,-4
136,10,2,-1,4,5,19,6,0
137,19,-2,-8,2,5,5,-17,5
138,19,-2,-8,2,5,5,-17,5
139,19,-2,-8,2,5,5,-17,5
140,11,-4,-3,14,80,23,11,-2
141,25,5,2,7,-13,-44,-8,-7
142,25,5,2,7,-13,-44,-8,-7
143,12,-3,2,6,23,45,-6,-2
144,12,-3,2,6,23,45,-6,-2
145,12,-3,2,6,23,45,-6,-2
146,-55,-5,-5,11,34,60,26,-12
147,15,-6,9,2,23,75,18,-2
148,24,3,2,-16,-97,-5,-15,2
149,24,3,2,-16,-97,-5,-15,2
150,-16,8,6,-2,5,12,2,2
151,-16,8,6,-2,5,12,2,2
152,11,-7,-2,-8,-7,-60,13,-6
153,-4,0,5,1,6,-16,2,-3
154,9,4,10,-16,-34,15,3,7
155,9,4,10,-16,-34,15,3,7
156,-11,0,-3,15,24,-3,-9,4
157,15,6,-3,10,44,0,-12,2
158,-42,-2,-2,-5,30,9,-17,-1
159,-19,9,-1,-9,-13,-18,-7,4
160,-63,-5,-16,5,20,-23,-7,-7
161,40,-2,-4,-9,18,19,3,7
162,40,-2,-4,-9,18,19,3,7
163,5,-11,-4,10,19,43,-18,3
164,5,-11,-4,10,19,43,-18,3
165,5,-11,-4,10,19,43,-18,3
166,7,-7,9,2,16,-41,-1,2
167,27,1,-9,-6,-46,2,3,-5
168,-16,-7,0,-7,-41,18,21,-3
169,-16,-7,0,-7,-41,18,21,-3
170,-30,-4,-10,2,5,-14,12,-8
171,-30,-4,-10,2,5,-14,12,-8
172,19,2,4,-15,-30,16,-20,4
173,-24,-6,0,15,24,41,10,-13
174,-4,4,-2,-28,-91,-14,43,7
175,-11,-4,-8,-2,-4,-63,-9,3
176,26,1,-2,-10,-49,7,-42,-2
177,26,1,-2,-10,-49,7,-42,-2
178,-6,0,1,2,-12,1,-5,1
179,-1,6,8,4,13,8,-4,1
180,55,-1,7,6,25,45,13,-2
181,16,2,-2,-12,-53,-80,28,6
182,16,2,-2,-12,-53,-80,28,6
183,-11,-8,10,-22,-3,-12,-28,-8
184,-57,3,-1,8,56,-52,-5,-4
185,-15,3,-8,0,15,39,-2,2
186,11,1,1,-1,17,-16,-18,-3
187,-71,-7,-3,1,9,1,9,-6
188,-3,-3,-1,-9,-6,5,6,-3
189,23,1,-6,-6,-72,-67,-42,-2
190,10,2,-3,18,47,-41,-19,-1
191,10,2,-3,18,47,-41,-19,-1
192,22,4,1,8,9,12,-9,3
193,22,4,1,8,9,12,-9,3
194,-9,-1,-4,-8,-12,11,5,-3
195,16,2,1,-4,-9,17,-5,5
196,9,8,4,-6,-3,12,10,6
197,9,8,4,-6,-3,12,10,6
198,-10,-4,-10,0,12,19,-15,-2
199,-10,-4,-10,0,12,19,-15,-2
200,-52,-10,-4,3,-13,-62,-8,-7
201,1,1,-7,-7,11,35,9,4
202,10,12,5,-13,-20,3,8,1
203,3,10,2,-14,-52,-31,-1,-9
204,3,10,2,-14,-52,-31,-1,-9
205,3,10,2,-14,-52,-31,-1,-9
206,-12,-7,-3,1,7,16,1,4
207,-12,-7,-3,1,7,16,1,4
208,-2,-1,7,-4,-8,12,-3,1
209,15,-2,5,3,5,18,1,2
210,-31,-6,0,-1,48,17,5,-4
211,-31,-6,0,-1,48,17,5,-4
212,-31,-6,0,-1,48,17,5,-4
213,-31,-6,0,-1,48,17,5,-4
214,-1,-7,6,3,-1,34,14,-2
