time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,7,11,1,1,-2,-1,-3,14
1,-27,10,3,3,4,1,2,-10
2,14,-3,-3,-1,2,-2,-3,-6
3,14,-3,-3,-1,2,-2,-3,-6
4,1,-3,-4,-4,-2,-2,-3,3
5,1,-3,-4,-4,-2,-2,-3,3
6,4,4,0,0,-1,-2,-2,5
7,4,4,0,0,-1,-2,-2,5
8,0,7,1,2,2,1,0,-13
9,0,7,1,2,2,1,0,-13
10,6,1,0,-3,-5,-1,-2,11
11,6,1,0,-3,-5,-1,-2,11
12,6,1,0,-3,-5,-1,-2,11
13,6,1,0,-3,-5,-1,-2,11
14,6,1,0,-3,-5,-1,-2,11
15,4,-3,-3,-1,-2,-1,-2,-15
16,4,-3,-3,-1,-2,-1,-2,-15
17,4,-3,-3,-1,-2,-1,-2,-15
18,4,-3,-3,-1,-2,-1,-2,-15
19,-36,-7,-1,-2,-1,0,3,-2
20,6,-8,-2,0,1,1,-1,1
21,6,-8,-2,0,1,1,-1,1
22,-7,1,1,-1,-2,-1,-3,-5
23,-7,1,1,-1,-2,-1,-3,-5
24,-7,1,1,-1,-2,-1,-3,-5
25,-7,1,1,-1,-2,-1,-3,-5
26,-7,1,1,-1,-2,-1,-3,-5
27,2,5,0,-2,-1,-4,0,15
28,2,5,0,-2,-1,-4,0,15
29,2,5,0,-2,-1,-4,0,15
30,2,5,0,-2,-1,-4,0,15
31,8,-2,-1,-1,-2,-1,-2,6
32,8,-2,-1,-1,-2,-1,-2,6
33,3,7,0,2,3,2,1,6
34,3,7,0,2,3,2,1,6
35,3,7,0,2,3,2,1,6
36,3,7,0,2,3,2,1,6
37,-10,-2,0,-1,-1,1,0,-16
38,-10,-2,0,-1,-1,1,0,-16
39,-10,-2,0,-1,-1,1,0,-16
40,-2,-7,-1,1,1,0,1,9
41,1,8,-1,-2,-2,-2,-2,3
42,1,8,-1,-2,-2,-2,-2,3
43,1,8,-1,-2,-2,-2,-2,3
44,6,-7,-2,0,0,-2,-2,-1
45,6,-7,-2,0,0,-2,-2,-1
46,6,-7,-2,0,0,-2,-2,-1
47,-5,4,-4,-5,-7,-5,-6,-3
48,-5,4,-4,-5,-7,-5,-6,-3
49,-5,4,-4,-5,-7,-5,-6,-3
50,3,6,1,0,0,2,5,-17
51,1,-1,1,0,2,-2,-10,1
52,1,-1,1,0,2,-2,-10,1
53,1,-1,1,0,2,-2,-10,1
54,9,6,1,1,2,2,5,8
55,9,6,1,1,2,2,5,8
56,9,6,1,1,2,2,5,8
57,9,6,1,1,2,2,5,8
58,7,-6,-4,-1,-1,-1,0,17
59,7,-6,-4,-1,-1,-1,0,17
60,7,-6,-4,-1,-1,-1,0,17
61,-3,-1,0,1,2,-2,-1,3
62,-9,-10,0,0,0,-1,1,3
63,-9,-10,0,0,0,-1,1,3
64,-9,-10,0,0,0,-1,1,3
65,-7,-5,-1,-1,0,-1,-2,-11
66,-7,-5,-1,-1,0,-1,-2,-11
67,-7,-5,-1,-1,0,-1,-2,-11
68,-7,-5,-1,-1,0,-1,-2,-11
69,19,3,-2,-5,-5,-2,0,0
70,19,3,-2,-5,-5,-2,0,0
71,19,3,-2,-5,-5,-2,0,0
72,2,13,4,2,1,1,-3,-3
73,2,13,4,2,1,1,-3,-3
74,2,13,4,2,1,1,-3,-3
75,-21,-5,-3,2,1,-2,-2,2
76,2,1,0,-3,-4,-2,2,-10
77,2,1,0,-3,-4,-2,2,-10
78,2,1,0,-3,-4,-2,2,-10
79,2,1,0,-3,-4,-2,2,-10
80,-3,-1,-1,0,0,0,0,-10
81,-3,-1,-1,0,0,0,0,-10
82,-3,-1,-1,0,0,0,0,-10
83,-3,-1,-1,0,0,0,0,-10
84,-3,-1,-1,0,0,0,0,-10
85,3,0,1,2,5,0,2,2
86,3,0,1,2,5,0,2,2
87,-7,-7,-3,2,-1,-2,-4,-26
88,-7,-7,-3,2,-1,-2,-4,-26
89,-7,-7,-3,2,-1,-2,-4,-26
90,-7,-7,-3,2,-1,-2,-4,-26
91,-8,-2,-1,-2,1,2,0,-10
92,-8,-2,-1,-2,1,2,0,-10
93,-8,-2,-1,-2,1,2,0,-10
94,-8,-2,-1,-2,1,2,0,-10
95,-8,-2,-1,-2,1,2,0,-10
96,1,2,0,0,0,0,-1,15
97,1,2,0,0,0,0,-1,15
98,4,-1,-2,-3,-3,-1,-5,-7
99,4,-1,-2,-3,-3,-1,-5,-7
100,4,-1,-2,-3,-3,-1,-5,-7
101,4,-8,-3,-2,-1,0,-2,-2
102,-9,-8,2,2,1,2,5,4
103,-9,-8,2,2,1,2,5,4
104,-9,-8,2,2,1,2,5,4
105,-9,-8,2,2,1,2,5,4
106,5,3,-3,-3,-4,0,3,2
107,5,3,-3,-3,-4,0,3,2
108,-26,-6,-1,-1,-1,-2,2,-2
109,-26,-6,-1,-1,-1,-2,2,-2
110,-26,-6,-1,-1,-1,-2,2,-2
111,-26,-6,-1,-1,-1,-2,2,-2
112,9,5,-1,0,1,-3,0,8
113,-1,-4,-1,-2,-4,-2,-2,-7
114,-1,-4,-1,-2,-4,-2,-2,-7
115,-1,-4,-1,-2,-4,-2,-2,-7
116,-1,-4,-1,-2,-4,-2,-2,-7
117,10,-1,-2,-3,-3,-1,1,12
118,10,-1,-2,-3,-3,-1,1,12
119,3,5,1,2,2,-2,-3,-29
120,3,5,1,2,2,-2,-3,-29
121,3,5,1,2,2,-2,-3,-29
122,3,5,1,2,2,-2,-3,-29
123,-13,-2,0,-2,1,1,-3,7
124,-13,-2,0,-2,1,1,-3,7
125,-5,-3,-1,1,1,-1,-2,30
126,-5,-3,-1,1,1,-1,-2,30
127,17,21,2,1,2,0,-1,-5
128,17,21,2,1,2,0,-1,-5
129,17,21,2,1,2,0,-1,-5
130,-2,-13,-3,-2,2,0,-1,1
131,-2,-13,-3,-2,2,0,-1,1
132,-2,-13,-3,-2,2,0,-1,1
133,-2,-13,-3,-2,2,0,-1,1
134,4,-2,-1,1,0,1,1,-1
135,4,-2,-1,1,0,1,1,-1
136,4,-2,-1,1,0,1,1,-1
137,4,-2,-1,1,0,1,1,-1
138,0,-2,-2,-4,-5,-2,0,13
139,0,-2,-2,-4,-5,-2,0,13
140,0,-2,-2,-4,-5,-2,0,13
141,-4,7,3,0,2,1,-3,-13
142,-4,7,3,0,2,1,-3,-13
143,-4,7,3,0,2,1,-3,-13
144,-4,7,3,0,2,1,-3,-13
145,2,5,0,1,0,-1,1,11
146,2,5,0,1,0,-1,1,11
147,2,5,0,1,0,-1,1,11
148,2,5,0,1,0,-1,1,11
149,-5,5,2,-1,-1,-1,0,-2
150,-5,5,2,-1,-1,-1,0,-2
151,-3,-7,-2,-2,-1,-1,-1,3
152,-3,-7,-2,-2,-1,-1,-1,3
153,-3,-7,-2,-2,-1,-1,-1,3
154,-3,-7,-2,-2,-1,-1,-1,3
155,11,-7,-1,-1,1,-1,2,8
156,-2,6,-1,-2,-1,-4,-3,4
157,-2,6,-1,-2,-1,-4,-3,4
158,-2,6,-1,-2,-1,-4,-3,4
159,-2,6,-1,-2,-1,-4,-3,4
160,-1,-5,-3,-1,-1,-1,3,8
161,-3,-9,-1,0,-1,1,2,-10
162,3,8,0,0,2,0,0,1
163,3,8,0,0,2,0,0,1
164,3,8,0,0,2,0,0,1
165,3,8,0,0,2,0,0,1
166,-22,-9,-2,0,0,-1,-2,7
167,-22,-9,-2,0,0,-1,-2,7
168,-22,-9,-2,0,0,-1,-2,7
169,-22,-9,-2,0,0,-1,-2,7
170,1,0,-4,-4,-2,-1,2,-2
171,1,0,-4,-4,-2,-1,2,-2
172,6,-1,-1,-2,-2,0,-2,1
173,6,-1,-1,-2,-2,0,-2,1
174,-2,-14,-1,1,-2,-2,-3,-12
175,-2,-14,-1,1,-2,-2,-3,-12
176,-2,-14,-1,1,-2,-2,-3,-12
177,2,-3,-3,-4,-4,-2,-2,11
178,2,-3,-3,-4,-4,-2,-2,11
179,2,-3,-3,-4,-4,-2,-2,11
180,-5,-2,1,-2,-4,0,-4,-9
181,-5,-2,1,-2,-4,0,-4,-9
182,1,2,2,2,0,1,1,2
183,1,2,2,2,0,1,1,2
184,1,2,2,2,0,1,1,2
185,13,10,-2,0,-2,-2,-4,1
186,13,10,-2,0,-2,-2,-4,1
187,13,10,-2,0,-2,-2,-4,1
188,13,10,-2,0,-2,-2,-4,1
189,2,-5,0,0,-1,0,1,-13
