time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-3,1,0,0,2,0,-1,-6
1,-1,0,-1,0,1,-1,-1,-5
2,1,0,-2,-1,0,-1,-2,-3
3,2,-1,-2,-2,0,-1,-2,-1
4,3,-2,-3,-2,0,-1,-2,0
5,2,4,0,0,0,-1,-1,0
6,2,5,0,0,0,0,-1,-2
7,1,5,0,1,0,0,0,-5
8,0,6,0,1,1,0,0,-8
9,0,6,0,1,1,0,0,-10
10,5,0,0,-2,-4,-1,-2,9
11,5,0,0,-2,-4,-1,-2,8
12,5,0,0,-2,-4,-1,-2,6
13,5,0,0,-2,-4,-1,-2,3
14,5,0,-1,-2,-3,-1,-2,1
15,0,-3,-2,-1,-1,0,-1,-13
16,-1,-4,-2,-1,-1,0,-1,-11
17,-3,-4,-2,-1,-1,0,0,-9
18,-5,-5,-2,0,0,0,0,-6
19,-7,-6,-2,0,0,0,0,-5
20,-2,-2,0,0,0,0,-2,-2
21,-3,-1,0,0,-1,0,-2,-3
22,-4,0,0,0,-1,0,-2,-3
23,-5,0,0,0,-1,0,-2,-4
24,-6,0,0,0,-1,0,-2,-4
25,-1,3,0,-1,-1,-2,-1,7
26,0,3,0,-1,-1,-3,0,9
27,0,4,0,-1,-1,-3,0,11
28,1,4,0,-1,-1,-3,0,13
29,1,4,0,-1,-1,-3,0,14
30,7,0,0,0,-1,0,-1,6
31,6,0,0,0,0,0,-1,6
32,6,1,0,0,0,0,0,6
33,5,3,0,0,0,0,0,6
34,4,4,0,1,1,1,0,6
35,0,3,0,1,1,1,0,0
36,-1,2,0,0,1,1,0,-1
37,-3,0,0,0,0,1,0,-2
38,-4,-1,0,0,0,0,0,-3
39,-5,-2,0,0,0,0,0,-3
40,2,1,-1,-1,0,-1,-1,7
41,4,1,-1,-1,-1,-1,-1,7
42,6,2,-1,-1,-1,-2,-2,8
43,8,1,-2,-1,-1,-2,-3,8
44,10,1,-2,-2,-1,-3,-3,8
45,0,0,-3,-2,-4,-3,-3,-2
46,0,0,-2,-3,-4,-3,-3,-3
47,-1,2,-2,-3,-4,-3,-3,-5
48,-1,3,-2,-3,-4,-2,-2,-6
49,-1,4,-2,-2,-4,-2,-1,-8
50,2,0,1,0,2,-1,-7,1
51,2,0,1,0,2,-1,-6,2
52,4,1,1,0,2,0,-4,3
53,5,2,1,0,2,0,-1,4
54,6,3,1,0,2,0,0,5
55,8,2,0,0,1,1,3,10
56,8,0,-1,0,0,0,2,11
57,7,-1,-2,0,0,0,1,13
58,7,-3,-2,0,0,0,1,14
59,7,-4,-3,0,0,0,0,15
60,-6,-6,0,0,0,-1,0,2
61,-7,-6,0,0,0,-1,0,1
62,-7,-7,0,0,0,-1,0,0
63,-7,-7,0,0,0,-1,0,-1
64,-7,-7,0,0,0,-1,0,-2
65,-3,-3,-1,-1,0,-1,-1,-9
66,0,-3,-1,-1,-1,-1,-1,-8
67,3,-1,-1,-2,-1,-1,-1,-6
68,7,0,-1,-3,-2,-1,0,-4
69,10,0,-1,-3,-3,-1,0,-3
70,7,8,1,0,-1,0,-1,-1
71,4,8,1,0,0,0,-2,-1
72,0,7,1,0,0,0,-2,-1
73,-3,6,1,1,0,0,-2,-1
74,-5,5,1,1,0,0,-2,0
75,1,0,0,-2,-3,-1,1,-10
76,1,0,0,-2,-3,-1,1,-10
77,1,0,0,-2,-3,-1,1,-10
78,0,0,0,-2,-2,-1,1,-10
79,0,0,0,-1,-2,-1,1,-10
80,-2,0,0,0,0,0,0,-9
81,-2,0,0,0,0,0,0,-8
82,-1,0,0,0,0,0,0,-7
83,-1,0,0,0,1,0,0,-6
84,0,0,0,0,1,0,0,-5
85,-3,-4,-1,2,1,-1,-1,-15
86,-4,-4,-1,2,0,-1,-2,-17
87,-5,-5,-2,2,0,-1,-2,-20
88,-6,-6,-2,2,0,-1,-3,-23
89,-6,-6,-2,2,0,-1,-3,-24
90,-8,-2,-1,-2,1,2,0,-10
91,-8,-2,-1,-2,1,2,0,-10
92,-8,-2,-1,-2,1,2,0,-10
93,-8,-2,-1,-2,1,2,0,-10
94,-8,-2,-1,-2,1,2,0,-10
95,-3,0,0,0,0,0,-1,10
96,-4,0,0,-1,0,0,-1,7
97,-4,-1,-1,-1,0,0,-2,4
98,-3,-1,-1,-2,-1,0,-3,0
99,-2,-1,-1,-2,-1,0,-3,-1
100,-4,-5,0,0,0,0,1,0
101,-5,-5,0,0,0,1,2,0
102,-6,-6,1,1,0,1,3,1
103,-7,-7,1,1,0,1,4,2
104,-8,-7,1,1,0,1,4,3
105,-5,0,-2,-2,-3,0,2,0
106,-8,0,-2,-2,-2,0,2,0
107,-13,-2,-1,-1,-2,-1,2,0
108,-18,-3,-1,-1,-1,-1,2,-1
109,-21,-4,-1,-1,-1,-1,2,-1
110,-17,-5,-1,-1,-1,-2,0,-3
111,-15,-5,-1,-1,-2,-2,0,-4
112,-10,-4,-1,-1,-2,-2,0,-5
113,-6,-4,-1,-1,-3,-2,-1,-5
114,-4,-4,-1,-1,-3,-2,-1,-6
115,4,-1,-1,-1,-2,-1,0,0
116,5,0,-1,-1,-2,-1,0,-3
117,5,0,0,0,-1,-1,-1,-7
118,5,2,0,0,0,-1,-1,-12
119,4,2,0,0,0,-1,-1,-16
120,-1,2,0,0,1,-1,-2,-16
121,-3,1,0,0,1,0,-2,-11
122,-5,0,0,0,1,0,-2,-2
123,-6,0,0,0,1,0,-2,5
124,-7,-1,0,0,1,0,-2,10
125,7,4,0,0,0,0,0,12
126,8,5,0,0,0,0,0,9
127,9,5,0,0,0,0,0,5
128,9,5,0,0,1,0,0,1
129,8,5,0,0,1,0,0,0
130,-1,-11,-2,-1,1,0,0,0
131,0,-10,-2,-1,1,0,0,0
132,0,-8,-2,0,1,0,0,0
133,1,-6,-1,0,0,0,0,0
134,2,-5,-1,0,0,0,0,0
135,2,-2,-1,0,-1,0,0,3
136,2,-2,-1,-1,-2,0,0,5
137,1,-2,-1,-2,-3,0,0,7
138,0,-2,-1,-2,-3,-1,0,9
139,0,-2,-1,-3,-4,-1,0,11
140,-3,6,2,0,1,0,-2,-11
141,-3,6,2,0,1,0,-2,-10
142,-2,6,2,0,1,0,-2,-8
143,-2,6,2,0,1,0,-1,-5
144,-1,6,1,0,1,0,-1,-3
145,1,5,0,0,0,-1,0,9
146,0,5,0,0,0,-1,0,7
147,0,5,0,0,0,-1,0,5
148,-1,5,1,0,0,-1,0,3
149,-2,5,1,0,0,-1,0,2
150,-2,-7,-1,-1,0,-1,0,3
151,-1,-7,-1,-1,0,-1,0,3
152,0,-7,-1,-1,0,-1,0,3
153,1,-7,-1,-1,0,-1,0,4
154,2,-7,-1,-1,0,-1,0,4
155,-1,5,-1,-1,-1,-3,-2,4
156,-1,4,-1,-1,-1,-3,-2,4
157,-1,3,-1,-1,-1,-3,-1,4
158,-1,2,-1,-1,-1,-3,-1,5
159,-1,1,-1,-1,-1,-2,0,5
160,0,1,0,0,0,0,0,-3
161,1,2,0,0,1,0,0,-2
162,1,4,0,0,1,0,0,-1
163,2,6,0,0,1,0,0,0
164,2,7,0,0,1,0,0,0
165,-20,-8,-2,0,0,-1,-1,6
166,-19,-8,-2,0,0,-1,-1,6
167,-17,-7,-2,0,0,-1,-1,5
168,-15,-6,-2,-1,0,-1,0,4
169,-13,-5,-2,-1,0,-1,0,3
170,1,-2,-3,-2,-2,0,0,-2
171,1,-3,-2,-2,-2,-1,0,-3
172,0,-5,-2,-1,-2,-1,0,-5
173,0,-8,-1,0,-2,-1,-1,-7
174,0,-9,-1,0,-2,-1,-2,-8
175,0,-6,-2,-1,-3,-2,-2,2
176,0,-5,-2,-2,-3,-2,-2,4
177,0,-2,-1,-2,-3,-2,-2,6
178,1,0,-1,-2,-3,-2,-2,8
179,1,0,-1,-2,-3,-2,-2,9
180,-1,0,1,0,-1,0,0,-2
181,0,0,1,0,-1,0,0,-1
182,0,1,1,1,0,0,0,0
183,0,1,1,1,0,0,0,0
184,0,1,1,1,0,0,0,1
185,11,9,-1,0,-1,-1,-3,0
186,9,8,-1,0,-1,-1,-3,0
187,6,7,-1,0,-1,-1,-2,0
188,2,5,-1,0,-1,-1,-2,-1
189,0,4,-1,0,0,0,-1,-1
190,0,-4,-1,0,0,0,0,-7
191,1,-5,-1,0,0,0,-1,-9
192,3,-6,-1,0,-1,-1,-3,-11
193,5,-7,-1,0,-1,-1,-4,-14
194,6,-8,-1,0,-1,-1,-5,-15
195,3,-6,0,0,0,-1,2,10
196,3,-6,0,0,0,-1,2,10
197,4,-5,0,0,0,-1,2,10
198,5,-4,0,0,0,-1,2,10
199,5,-3,0,0,0,-1,2,10
200,-6,-1,0,-1,-1,0,0,6
201,-7,0,0,-1,-1,0,-1,4
202,-8,0,0,-2,-1,0,-3,1
203,-9,1,0,-3,-1,0,-4,-1
204,-9,2,0,-3,-1,0,-5,-3
205,12,-2,-1,1,0,-1,2,3
206,11,-2,-1,1,0,-1,2,3
207,9,-2,-1,1,0,-1,2,2
208,7,-2,-1,1,0,-1,1,1
209,5,-2,-1,1,0,-1,1,0
210,-1,-2,-3,0,0,0,0,-1
211,0,-2,-3,0,0,0,0,0
212,2,-2,-3,0,0,0,0,0
213,4,-2,-3,0,0,0,0,0
214,6,-2,-3,0,0,0,0,0
215,6,-1,-2,1,2,0,1,-3
216,6,-1,-2,1,2,0,1,-3
217,6,0,-2,1,2,0,1,-3
218,6,0,-2,0,2,0,1,-4
219,7,0,-1,0,1,0,1,-4
220,5,2,0,0,-1,0,0,-2
221,4,1,0,0,-1,0,0,-4
222,3,0,0,0,-1,0,0,-7
223,2,0,0,0,-1,0,0,-11
224,2,0,-1,0,-1,0,0,-13
225,0,0,0,-1,-2,0,0,-8
226,0,0,0,-1,-2,0,0,-6
227,-1,1,0,-1,-2,0,0,-4
228,-1,1,0,-1,-2,0,0,-2
229,-1,1,0,-1,-2,0,0,-1
230,0,18,2,0,0,0,-1,-3
231,0,15,1,0,0,0,0,-2
232,0,8,0,-1,-1,0,0,0
233,0,2,-1,-1,-1,0,0,2
234,0,-1,-2,-2,-2,0,0,4
235,-10,-12,-3,-3,-2,0,0,8
236,-10,-11,-3,-3,-2,0,0,6
237,-10,-10,-2,-3,-2,0,0,3
238,-10,-9,-1,-3,-2,0,-1,0
239,-10,-8,-1,-3,-2,0,-1,0
240,-3,6,2,0,-2,0,0,2
241,-3,8,2,0,-2,0,-1,2
242,-3,9,2,0,-2,0,-1,2
243,-3,11,2,0,-3,0,-1,1
244,-4,11,2,0,-3,0,-1,1
245,-8,-8,-3,-3,-3,-3,-4,4
246,-11,-9,-3,-3,-3,-3,-4,3
247,-15,-9,-4,-3,-4,-3,-4,2
248,-19,-9,-4,-4,-4,-3,-4,1
249,-22,-10,-5,-4,-5,-3,-4,0
250,-4,-4,0,0,0,0,1,-7
251,-3,-4,0,0,0,0,1,-6
252,-1,-4,0,0,0,0,1,-4
253,1,-5,-1,0,0,0,1,-2
254,3,-5,-1,0,0,0,1,0
255,13,-2,-1,1,0,0,1,4
256,14,0,-1,1,0,0,0,4
257,15,1,0,1,0,0,0,4
258,17,3,0,1,0,0,0,4
259,17,4,0,1,0,0,0,4
260,0,0,0,0,0,-2,0,-8
261,-1,0,0,0,0,-2,0,-7
262,-3,1,0,0,0,-2,-1,-6
263,-5,1,0,-1,0,-2,-2,-4
264,-6,2,0,-1,0,-2,-3,-4
265,-1,0,-2,-2,-1,-2,-1,2
266,0,0,-2,-2,-1,-2,-1,3
267,0,0,-3,-2,-2,-2,0,4
268,1,0,-3,-2,-2,-2,0,5
269,2,0,-3,-2,-2,-2,0,5
270,-14,-5,-1,0,1,0,0,0
271,-10,-4,-1,0,1,0,0,2
272,-4,-3,-1,0,0,0,0,4
273,1,-3,-1,0,0,-1,0,7
274,4,-2,-1,0,0,-1,0,8
275,11,1,0,0,0,0,-1,11
276,12,2,0,0,0,0,-1,11
277,12,2,0,0,0,0,-1,11
278,12,3,0,0,0,0,-1,11
279,12,3,0,0,0,0,-1,11
280,4,0,0,0,-1,0,-1,-4
281,0,0,0,0,-1,0,-1,-4
282,-5,0,0,0,-1,0,-1,-4
283,-12,0,0,0,-1,0,-1,-5
284,-15,0,0,0,-1,0,-1,-5
