time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,20,-6,-2,-3,-8,-1,-2,-10
1,-5,-1,-3,-9,-15,0,2,5
2,-5,-1,-3,-9,-15,0,2,5
3,-5,-1,-3,-9,-15,0,2,5
4,-42,-1,-2,-1,2,-3,-3,0
5,-42,-1,-2,-1,2,-3,-3,0
6,-5,0,0,3,7,3,3,4
7,17,4,-1,-1,2,-7,-5,3
8,10,0,-1,-4,3,1,1,7
9,10,0,-1,-4,3,1,1,7
10,10,0,-1,-4,3,1,1,7
11,19,-2,-1,-5,-8,-4,1,-7
12,-2,2,2,3,3,1,0,9
13,6,-12,-4,3,0,0,1,-3
14,6,-12,-4,3,0,0,1,-3
15,-8,-5,-3,-5,-14,5,-1,-1
16,-8,-5,-3,-5,-14,5,-1,-1
17,-8,-5,-3,-5,-14,5,-1,-1
18,13,6,0,4,7,-3,-2,1
19,-1,3,0,5,0,-6,1,15
20,-1,2,1,2,6,-1,8,-4
21,-1,2,1,2,6,-1,8,-4
22,-17,7,0,-8,-13,1,-2,14
23,-17,7,0,-8,-13,1,-2,14
24,-17,7,0,-8,-13,1,-2,14
25,15,0,0,7,8,1,7,0
26,15,0,0,7,8,1,7,0
27,5,0,1,11,2,-6,-1,-1
28,5,-3,-3,-5,-2,-5,-3,-4
29,5,-3,-3,-5,-2,-5,-3,-4
30,-3,-3,-3,5,4,1,-5,-6
31,-3,-3,-3,5,4,1,-5,-6
32,3,-1,3,-1,3,-1,2,-10
33,-7,4,-2,-2,1,0,2,-27
34,-20,-8,-3,-3,0,1,-2,2
35,-20,-8,-3,-3,0,1,-2,2
36,23,1,2,8,9,1,-3,-11
37,-8,3,1,4,7,-1,7,-10
38,-3,-2,-3,-4,-4,-1,1,12
39,-3,-2,-3,-4,-4,-1,1,12
40,-19,0,2,1,2,-2,-5,-10
41,-10,-3,2,-2,6,5,-4,5
42,20,5,0,-2,1,-5,-4,-7
43,-30,2,1,-1,2,-1,-7,6
44,31,2,1,13,4,2,4,-13
45,31,2,1,13,4,2,4,-13
46,-4,-6,-2,0,0,-4,0,23
47,-4,-6,-2,0,0,-4,0,23
48,-4,-6,-2,0,0,-4,0,23
49,-13,0,0,-1,1,5,5,-1
50,-13,0,0,-1,1,5,5,-1
51,-13,0,0,-1,1,5,5,-1
52,13,-2,-1,-11,-19,-4,-3,9
53,13,-2,-1,-11,-19,-4,-3,9
54,2,-3,-3,0,4,-3,-4,-8
55,2,-3,-3,0,4,-3,-4,-8
56,2,-3,-3,0,4,-3,-4,-8
57,13,-1,-1,-3,-3,-2,-2,-39
58,-25,-6,-2,1,-1,4,4,-11
59,-25,-6,-2,1,-1,4,4,-11
60,-4,1,2,5,19,8,7,1
61,-6,0,-1,4,4,0,-1,7
62,3,2,-1,-5,-1,-6,-6,4
63,-3,6,3,-2,-2,5,5,-5
