time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,-2,0,1,11,2,-17,-8
1,-1,-2,0,1,11,2,-17,-8
2,-2,-3,-1,-1,2,-31,2,-6
3,-2,0,-1,-1,5,8,5,-5
4,-2,0,-1,-1,5,8,5,-5
5,0,-4,0,-2,2,-5,4,7
6,0,-4,0,-2,2,-5,4,7
7,2,-2,0,-1,0,6,3,3
8,-1,-2,-1,-2,-7,2,5,4
9,-1,-2,-1,-2,-7,2,5,4
10,-1,-1,0,-6,-83,7,9,-3
11,-1,-6,-2,-3,-6,-9,-3,11
12,-1,-6,-2,-3,-6,-9,-3,11
13,1,6,-1,0,-20,-22,13,4
14,1,6,-1,0,-20,-22,13,4
15,1,6,-1,0,-20,-22,13,4
16,-3,0,-2,-1,15,2,-4,-3
17,0,0,-2,1,16,3,0,-8
18,0,0,-2,1,16,3,0,-8
19,0,0,-2,1,16,3,0,-8
20,-3,-3,-2,-2,-4,19,-4,0
21,-3,-3,-2,-2,-4,19,-4,0
22,-3,-3,-2,-2,-4,19,-4,0
23,-3,-3,-2,-2,-4,19,-4,0
24,-3,-3,-2,-2,-4,19,-4,0
25,-5,-2,-1,-2,-14,1,-7,9
26,-5,-2,-1,-2,-14,1,-7,9
27,-1,0,1,1,19,2,1,2
28,-1,0,1,1,19,2,1,2
29,1,2,1,2,10,-11,-7,-21
30,1,2,1,2,10,-11,-7,-21
31,0,-1,-1,-1,8,13,-1,5
32,-4,-2,-1,-3,-9,17,0,-7
33,-4,-2,-1,-3,-9,17,0,-7
34,-4,-2,-1,-3,-9,17,0,-7
35,-4,-2,-1,-3,-9,17,0,-7
36,-2,-1,-2,-1,-4,-28,-5,-5
37,-2,-1,-2,-1,-4,-28,-5,-5
38,-2,-1,-2,-1,-4,-28,-5,-5
39,-2,-1,-2,-1,-4,-28,-5,-5
40,4,2,0,1,-23,-12,1,9
41,4,2,0,1,-23,-12,1,9
42,4,2,0,1,-23,-12,1,9
43,1,-1,0,-3,-17,5,4,8
44,1,-1,0,-3,-17,5,4,8
45,1,-1,0,-3,-17,5,4,8
46,1,-1,0,-3,-17,5,4,8
47,-2,-1,0,-1,15,14,-4,-5
48,-2,-1,0,-1,15,14,-4,-5
49,-2,-1,0,-1,15,14,-4,-5
50,-2,-1,0,-1,15,14,-4,-5
51,2,-1,0,-1,7,8,-5,-3
52,2,-1,0,-1,7,8,-5,-3
53,2,-1,0,-1,7,8,-5,-3
54,0,0,-1,1,13,8,4,-10
55,0,0,-1,1,13,8,4,-10
56,0,0,-1,1,13,8,4,-10
57,0,0,-1,1,13,8,4,-10
58,-3,-3,-2,-6,-32,-16,-7,-12
59,-3,-3,-2,-6,-32,-16,-7,-12
60,-3,-3,-2,-6,-32,-16,-7,-12
61,-3,-3,-2,-6,-32,-16,-7,-12
62,-1,3,1,0,17,-1,-6,-2
63,-1,3,1,0,17,-1,-6,-2
64,-1,3,1,0,17,-1,-6,-2
65,1,-1,-2,0,7,2,1,7
66,1,-1,-2,0,7,2,1,7
67,1,-1,-2,0,7,2,1,7
68,1,-1,-2,0,7,2,1,7
69,-2,-2,-1,0,0,-39,0,1
70,-2,-2,-1,0,0,-39,0,1
71,-3,-2,-2,2,19,-11,-2,-4
72,-3,-2,-2,2,19,-11,-2,-4
73,-5,-3,-1,-6,-54,3,-19,-1
74,-5,-3,-1,-6,-54,3,-19,-1
75,1,-2,0,0,24,3,7,2
76,1,-2,0,0,24,3,7,2
77,1,-2,0,0,24,3,7,2
78,1,-2,0,0,24,3,7,2
79,1,0,-1,1,8,13,11,17
80,1,0,-1,1,8,13,11,17
81,1,0,-1,1,8,13,11,17
82,0,-2,-2,0,-1,-4,11,2
83,1,-2,-1,0,0,-7,6,11
84,1,-2,-1,0,0,-7,6,11
85,1,-2,-1,0,0,-7,6,11
86,0,0,0,-1,3,17,6,10
87,0,0,0,-1,3,17,6,10
88,0,0,0,-1,3,17,6,10
89,0,0,0,-1,3,17,6,10
90,0,-3,0,0,-2,-4,4,-1
91,0,-3,0,0,-2,-4,4,-1
92,0,-3,0,0,-2,-4,4,-1
93,-3,-1,-1,-4,-21,-47,-7,-6
94,-3,-1,-1,-4,-21,-47,-7,-6
95,-2,0,0,0,8,-12,3,0
96,-2,0,0,0,8,-12,3,0
97,0,2,-1,-2,-44,3,-1,-9
98,0,2,-1,-2,-44,3,-1,-9
99,0,2,-1,-2,-44,3,-1,-9
100,0,2,-1,-2,-44,3,-1,-9
101,-1,-2,-1,-2,3,15,-9,-8
102,-1,-2,-1,-2,3,15,-9,-8
103,-1,-2,-1,-2,3,15,-9,-8
104,-1,-2,-1,-2,3,15,-9,-8
105,2,0,0,1,21,-3,0,4
106,2,0,0,1,21,-3,0,4
107,2,0,0,1,21,-3,0,4
108,-1,-2,-1,-1,7,-4,-4,-15
109,-1,-2,-1,-1,7,-4,-4,-15
110,-1,-2,-1,-1,7,-4,-4,-15
111,-1,-2,-1,-1,7,-4,-4,-15
112,0,0,0,-2,1,5,2,5
113,0,0,0,-2,1,5,2,5
114,0,0,0,-2,1,5,2,5
115,0,0,0,-2,1,5,2,5
116,0,0,0,-2,1,5,2,5
117,-5,-3,-3,1,10,0,-6,-1
118,1,1,0,4,27,29,-1,-10
119,2,-1,-2,-1,7,-16,-2,-12
120,2,-1,-2,-1,7,-16,-2,-12
121,2,-1,-2,-1,7,-16,-2,-12
122,-1,0,0,-4,-6,17,0,10
123,-1,0,0,-4,-6,17,0,10
124,-1,0,0,-4,-6,17,0,10
125,-1,0,0,-4,-6,17,0,10
126,-1,0,0,-4,-6,17,0,10
127,-1,0,0,-1,-1,1,6,4
128,-1,0,0,-1,-1,1,6,4
129,1,2,1,-2,-7,1,12,3
130,1,-1,0,2,5,-4,-4,-5
131,1,-1,0,2,5,-4,-4,-5
132,1,-1,0,2,5,-4,-4,-5
133,1,-1,0,2,5,-4,-4,-5
134,1,-1,-1,-4,-28,-20,4,36
135,1,-1,-1,-4,-28,-20,4,36
136,1,-1,-1,-4,-28,-20,4,36
137,1,-1,-1,-4,-28,-20,4,36
138,-6,-2,-2,0,5,19,-3,-15
139,-6,-2,-2,0,5,19,-3,-15
140,-1,-1,-1,0,25,-9,-6,-9
