time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,-1,0,0,8,3,-10,-7
1,-1,-1,0,0,7,3,-9,-7
2,-1,0,0,0,5,2,-7,-7
3,-1,0,0,0,2,2,-6,-7
4,-1,0,0,0,1,1,-5,-7
5,0,-2,0,-1,-5,0,4,4
6,0,-2,0,-2,-9,1,4,3
7,0,-2,0,-2,-18,2,5,3
8,0,-1,0,-3,-27,3,5,2
9,0,-1,0,-3,-34,3,6,1
10,0,-2,-1,-2,-10,-13,2,8
11,0,0,-1,-1,-12,-14,4,7
12,0,1,-1,-1,-14,-16,6,6
13,0,3,-1,0,-16,-18,9,5
14,0,4,-1,0,-18,-20,10,4
15,-1,0,-1,0,14,0,-1,-5
16,0,0,-1,0,14,0,-1,-5
17,0,0,-1,0,12,-4,-1,-5
18,0,0,-1,0,10,-8,-1,-5
19,0,0,-1,0,9,-11,-1,-5
20,-3,-2,-1,-2,-4,18,-4,0
21,-3,-2,-1,-2,-4,17,-4,0
22,-3,-2,-1,-2,-5,15,-4,1
23,-3,-2,-1,-2,-6,13,-4,2
24,-3,-2,-1,-2,-7,12,-5,3
25,-2,0,0,0,5,0,-3,1
26,-1,0,0,0,7,-1,-3,-1
27,0,0,0,0,9,-3,-3,-5
28,0,0,0,1,10,-5,-4,-10
29,0,1,0,1,11,-6,-4,-13
30,-2,0,0,-1,-1,6,-2,-12
31,-2,0,0,-1,-3,8,-2,-11
32,-3,-1,0,-2,-5,11,-1,-9
33,-3,-1,0,-2,-7,14,0,-8
34,-3,-1,0,-2,-8,15,0,-7
35,-1,0,-1,0,-4,-27,-4,-4
36,-1,0,-1,0,-5,-26,-4,-3
37,0,0,-1,0,-7,-25,-3,-2
38,0,0,-1,0,-9,-23,-3,0
39,0,0,-1,0,-11,-21,-2,0
40,3,1,0,0,-21,-6,1,8
41,2,0,0,0,-20,-4,2,8
42,2,0,0,-1,-19,-1,2,8
43,1,0,0,-2,-18,1,3,8
44,1,0,0,-2,-17,2,3,8
45,0,-1,0,-1,2,10,0,0
46,-1,-1,0,-1,5,11,-1,-1
47,-1,-1,0,-1,9,12,-2,-2
48,-1,-1,0,-1,11,13,-3,-3
49,-1,-1,0,-1,13,13,-3,-4
50,1,0,0,0,7,8,-3,-3
51,1,0,0,0,8,8,-2,-4
52,1,0,0,0,9,8,-1,-5
53,0,0,0,0,10,8,0,-6
54,0,0,0,0,11,8,1,-7
55,0,0,-1,-1,-1,0,0,-10
56,-1,-1,-1,-2,-6,-2,0,-10
57,-1,-1,-1,-3,-14,-6,-2,-11
58,-2,-2,-1,-4,-21,-10,-4,-11
59,-2,-2,-1,-5,-25,-12,-5,-11
60,-1,0,0,-2,-1,-6,-6,-5
61,-1,0,0,-1,1,-5,-5,-4
62,-1,1,0,-1,6,-3,-4,-2
63,0,1,0,0,9,-1,-4,0
64,0,1,0,0,10,0,-3,0
65,0,-1,-1,0,6,-3,0,6
66,0,-1,-1,0,5,-7,0,5
67,0,-1,-1,0,4,-14,0,4
68,0,-1,-1,0,3,-21,0,3
69,-1,-1,-1,0,2,-25,0,2
70,-2,-2,-1,-1,-8,-16,-5,-1
71,-3,-2,-1,-1,-11,-13,-6,0
72,-2,-2,-1,-2,-14,-7,-7,0
73,-2,-2,0,-2,-15,-2,-7,0
74,-2,-2,0,-2,-15,0,-6,0
75,1,-1,0,0,21,4,7,4
76,1,-1,0,0,20,5,7,5
77,1,-1,0,0,17,6,8,7
78,1,0,0,0,15,8,9,10
79,1,0,0,0,13,9,9,12
80,0,-1,-1,0,2,1,9,10
81,0,-1,-1,0,2,0,8,10
82,0,-1,-1,0,1,-2,7,10
83,0,-1,-1,0,0,-4,7,10
84,0,-1,-1,0,0,-5,6,10
85,0,0,0,0,1,7,6,10
86,0,0,0,0,2,9,6,10
87,0,0,0,0,2,12,6,10
88,0,0,0,0,2,14,6,10
89,0,0,0,0,2,15,6,10
90,0,-2,0,-1,-6,-16,0,-2
91,-1,-2,0,-1,-7,-19,0,-2
92,-1,-1,0,-1,-8,-23,0,-2
93,-2,-1,0,-1,-7,-26,-1,-3
94,-2,0,0,-1,-7,-27,-1,-3
95,0,1,0,-1,-24,-2,0,-5
96,0,1,0,-1,-28,-1,0,-6
97,0,1,0,-1,-34,0,0,-7
98,0,1,0,-1,-39,1,0,-8
99,0,1,0,-1,-41,2,0,-8
100,0,0,-1,-1,-15,8,-6,-7
101,0,0,-1,-1,-13,8,-8,-7
102,0,-1,-1,-1,-10,6,-11,-6
103,0,-1,-1,-1,-8,3,-13,-5
104,0,-1,-1,-1,-7,0,-15,-4
105,1,0,0,0,16,-3,-1,-2
106,0,0,0,0,14,-3,-1,-4
107,0,-1,0,0,12,-3,-2,-7
108,0,-1,0,0,10,-3,-3,-10
109,0,-1,0,0,8,-3,-3,-12
110,0,0,0,-1,3,1,0,-2
111,0,0,0,-1,2,2,0,0
112,0,0,0,-1,2,3,0,1
113,0,0,0,-1,1,4,1,3
114,0,0,0,-1,1,4,1,4
115,0,0,0,-1,3,1,0,1
116,0,0,-1,-1,4,0,0,0
117,0,-1,-1,0,5,-4,-1,-2
118,0,-1,-1,0,6,-7,-1,-5
119,0,-1,-1,0,6,-10,-2,-7
120,1,0,-1,-1,2,-5,-1,-4
121,0,0,-1,-2,1,-1,-1,-2
122,0,0,0,-2,0,4,0,1
123,0,0,0,-3,-2,9,0,4
124,0,0,0,-3,-4,12,0,6
125,0,0,0,-1,-2,6,3,5
126,0,0,0,-1,-1,5,3,4
127,0,0,0,-1,0,3,3,3
128,0,0,0,0,0,1,2,1
129,0,0,0,0,1,0,1,0
130,1,-1,0,1,0,-6,-2,0
131,1,-1,0,0,-2,-7,-2,4
132,1,-1,0,0,-7,-10,0,11
133,1,-1,0,-1,-13,-12,0,18
134,1,-1,0,-2,-17,-14,1,22
135,-1,-1,-1,-2,-16,-8,1,19
136,-1,-1,-1,-2,-11,-5,0,14
137,-2,-1,-1,-1,-4,-1,0,6
138,-2,-1,-1,0,3,1,-2,-1
139,-3,-1,-1,0,7,2,-3,-5
140,-1,-1,-1,0,21,-9,-6,-9
141,-1,-1,-1,0,19,-9,-7,-9
142,-1,-1,-1,0,15,-9,-7,-9
143,-1,-1,-1,0,10,-10,-8,-9
144,-1,-1,-1,0,8,-10,-9,-9
