time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-2,-3,-1,-4,13,12,-3,-8
1,-2,-3,-1,-4,13,12,-3,-8
2,1,-2,-1,2,2,7,0,9
3,-2,-2,-2,-3,-18,-1,-7,10
4,3,2,-1,1,-5,-16,-7,-3
5,3,2,-1,1,-5,-16,-7,-3
6,3,2,-1,1,-5,-16,-7,-3
7,-1,0,-1,0,35,8,0,-21
8,0,-2,-3,-2,-4,-14,-7,3
9,-1,-1,-1,-3,-12,-19,8,10
10,-1,-1,-1,-3,-12,-19,8,10
11,-1,-1,-1,-3,-12,-19,8,10
12,2,1,0,1,0,9,2,-1
13,2,1,0,1,0,9,2,-1
14,-4,-4,-2,-2,3,5,-3,-1
15,-2,-3,-1,-1,-10,-6,1,-3
16,-1,1,0,-1,-5,9,3,2
17,-1,1,0,-1,-5,9,3,2
18,-2,-2,-2,-1,-19,-4,-10,-20
19,-2,-2,-2,-1,-19,-4,-10,-20
20,-5,-3,-3,-10,-30,-12,-11,3
21,-2,-1,-1,-1,-4,-5,4,8
22,-2,-1,-1,-1,-4,-5,4,8
23,-1,-1,0,-3,-43,14,-3,0
24,-1,-1,0,-3,-43,14,-3,0
25,-1,0,0,1,11,3,2,3
26,1,1,1,1,33,-1,1,4
27,1,1,1,1,33,-1,1,4
28,-2,-1,-1,1,3,6,5,13
29,-2,-1,-1,1,3,6,5,13
30,3,1,-1,1,3,0,-2,11
31,1,-2,-2,1,2,5,-2,-13
32,-2,-4,-1,0,-1,14,-4,4
33,-2,-4,-1,0,-1,14,-4,4
34,3,-1,0,-1,5,1,-13,-5
35,3,-1,0,-1,5,1,-13,-5
36,3,-1,0,-1,5,1,-13,-5
37,-2,-1,-1,-5,-14,-55,-2,-5
38,-2,0,1,-2,-1,-13,-2,-1
39,-2,0,1,-2,-1,-13,-2,-1
40,-2,0,1,-2,-1,-13,-2,-1
41,0,-2,-3,-4,-21,-1,14,11
42,0,-2,-3,-4,-21,-1,14,11
43,-1,-1,-2,-2,-2,15,9,-1
44,-3,2,0,4,-4,3,-3,-8
45,-3,2,0,4,-4,3,-3,-8
46,-3,2,0,4,-4,3,-3,-8
47,-2,-3,-2,0,12,22,1,-2
48,-2,-3,-2,0,12,22,1,-2
49,-2,-3,-2,0,12,22,1,-2
50,2,2,-1,0,31,11,5,-1
51,-4,-3,-2,0,1,-10,1,6
52,1,0,0,-1,-8,2,-1,10
53,-1,-2,-1,-2,-3,16,-4,-8
54,-1,-2,-1,-2,-3,16,-4,-8
55,-1,0,0,1,4,0,-1,-12
56,-1,0,0,1,4,0,-1,-12
57,-1,0,-1,-3,59,16,4,-3
58,-4,-1,-2,-1,3,-16,-16,-28
59,-4,-1,-2,-1,3,-16,-16,-28
60,0,-3,-2,0,-4,14,7,4
61,0,-3,-2,0,-4,14,7,4
62,-1,-1,-1,0,-6,-7,0,-1
63,-3,0,0,-2,-21,-21,-3,5
64,-1,-2,0,-3,-16,-5,-2,1
65,-1,-2,0,-3,-16,-5,-2,1
66,-1,-2,0,-1,2,3,13,8
67,-1,-2,0,-1,2,3,13,8
68,-1,-2,0,-1,2,3,13,8
69,-1,-1,0,-2,4,-18,0,-2
70,-1,-2,-2,4,46,6,5,-10
71,-4,-4,-5,-2,8,-13,-13,-2
72,-4,-4,-5,-2,8,-13,-13,-2
73,-2,1,2,2,-19,12,0,9
74,-2,1,2,2,-19,12,0,9
75,-2,-1,1,-1,1,1,-4,-2
76,-3,-1,-2,0,2,-5,-12,-20
77,-2,0,-2,-1,3,10,5,-4
78,-2,0,-2,-1,3,10,5,-4
79,0,0,-2,-1,9,23,5,2
80,0,0,-2,-1,9,23,5,2
81,-1,-2,-1,-1,-10,-3,-4,4
82,-6,-3,-2,-1,0,-12,-8,-20
83,-6,-3,-2,-1,0,-12,-8,-20
84,1,-2,0,-1,2,16,3,-3
85,2,2,0,-2,-8,-18,-3,-4
86,0,2,0,-2,-5,-13,-5,-4
87,-2,-1,-1,-2,-3,-14,2,0
88,0,0,-2,1,2,-2,-6,4
89,1,3,-1,-1,-2,-10,1,4
90,-1,-2,-2,-3,-28,-7,-8,5
91,-1,-2,-2,-3,-28,-7,-8,5
92,1,-2,-2,-7,-19,0,7,-2
93,1,-2,-2,-7,-19,0,7,-2
94,-1,-1,0,0,5,11,4,-1
95,-1,-1,-2,-2,1,-4,2,-3
96,2,0,1,1,15,-16,2,8
97,2,0,1,1,15,-16,2,8
98,-2,-2,-4,-1,3,-4,-3,-3
99,2,1,-1,-2,-5,-16,-3,8
100,2,1,-1,-2,-5,-16,-3,8
101,-2,1,-1,-2,9,-3,-1,-2
102,-2,1,-1,-2,9,-3,-1,-2
103,-2,1,-1,-2,9,-3,-1,-2
104,-3,-2,-4,-1,10,8,-6,-22
105,1,-1,-1,-3,-22,10,-2,2
106,-2,-1,0,1,10,13,10,6
107,0,2,-1,-1,3,3,-4,5
108,0,-2,-1,-2,-10,16,-1,-1
109,0,-2,-1,-2,-10,16,-1,-1
110,1,0,0,-1,-26,11,0,3
111,1,0,0,-1,-26,11,0,3
112,1,-1,-2,-3,7,5,7,-2
113,-1,-1,0,0,15,-36,-14,-3
114,-1,-1,0,0,15,-36,-14,-3
115,-4,-1,1,0,-28,-14,-9,-4
116,-4,-1,1,0,-28,-14,-9,-4
117,2,1,-1,-1,5,-4,0,-2
118,2,1,-1,-1,5,-4,0,-2
119,-5,-4,-4,-5,0,-68,-11,-33
120,0,-1,-2,-1,7,7,-1,-3
121,0,0,-2,-2,7,16,-16,9
122,0,0,-2,-2,7,16,-16,9
123,-2,-3,0,-4,-14,-10,-1,5
124,-2,-2,-2,-1,7,9,-13,-24
125,-2,-2,-2,-1,7,9,-13,-24
126,0,0,-1,-2,2,7,5,16
127,-1,-2,-3,-2,7,14,21,10
128,-1,-2,-3,-2,7,14,21,10
129,-1,-2,-1,-2,-41,22,-5,-3
130,-1,-2,-1,-2,-41,22,-5,-3
131,1,-1,1,0,14,0,5,28
132,1,-1,1,0,14,0,5,28
133,1,-1,1,0,14,0,5,28
134,-1,-4,-3,-2,-11,-11,-4,6
135,0,0,2,2,14,1,-2,-2
136,0,0,2,2,14,1,-2,-2
137,-1,1,1,2,13,8,-9,-4
138,-1,1,1,2,13,8,-9,-4
139,-1,-1,1,5,32,-16,-3,0
140,-1,-1,1,5,32,-16,-3,0
141,-3,-3,-4,-5,-46,-25,-3,-1
142,-3,-3,-4,-5,-46,-25,-3,-1
143,-4,0,1,5,26,21,10,-2
144,-3,-1,-3,-1,-2,-5,8,-1
145,3,0,-1,-1,-4,0,6,10
146,3,0,-1,-1,-4,0,6,10
147,-1,-1,-1,-2,-12,0,-8,-16
148,5,1,1,2,-3,4,-5,-5
149,-1,-4,0,-5,6,-58,2,-4
150,-1,0,-2,2,14,22,-1,1
151,-1,0,-2,2,14,22,-1,1
152,-1,0,-2,2,14,22,-1,1
153,-5,-1,-3,-3,-3,10,-19,0
154,-2,1,0,-3,-21,5,11,-9
155,-2,1,0,-3,-21,5,11,-9
156,-1,-1,-1,0,5,-7,-5,-7
157,-2,1,0,-3,-19,1,2,9
158,0,0,-1,3,11,3,0,9
159,0,0,-1,3,11,3,0,9
160,-5,-3,-3,-2,-1,7,-3,-21
161,-5,-3,-3,-2,-1,7,-3,-21
162,0,0,-1,-1,-4,4,10,6
163,0,0,-1,-1,-4,4,10,6
164,-1,-3,-1,-3,-16,26,-2,2
165,-3,0,-1,1,0,1,-3,5
166,1,0,0,-5,-15,4,6,14
167,-2,-1,-1,0,8,4,0,2
