time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-2,-2,0,-2,0,0,-1,-1
1,-1,0,0,-1,0,0,0,-1
2,0,-2,-1,0,-1,1,-2,0
3,-2,-2,-1,-1,-1,-2,0,-1
4,-2,-1,-1,-1,-3,-1,-1,-1
5,-2,-1,-1,-1,-3,-1,-1,-1
6,-2,-2,-1,0,0,-1,-1,-1
7,-1,-1,0,1,1,-1,-3,0
8,-1,-1,0,1,1,-1,-3,0
9,-1,-1,-1,-2,-1,-1,-2,1
10,0,0,-1,-1,-2,0,0,-2
11,0,0,-1,-1,-2,0,0,-2
12,1,0,0,-2,-2,-1,-1,-2
13,0,-1,-2,-1,0,-2,-1,-2
14,0,-1,-2,-1,0,-2,-1,-2
15,0,-1,-2,-1,0,-2,-1,-2
16,-2,1,1,-3,-1,0,0,0
17,-2,1,1,-3,-1,0,0,0
18,-2,1,1,-3,-1,0,0,0
19,-2,1,1,-3,-1,0,0,0
20,-1,-1,0,-1,-1,0,-2,-1
21,-1,-1,0,-1,-1,0,-2,-1
22,-1,-1,0,-1,-1,0,-2,-1
23,-1,-1,0,-1,-1,1,-2,-1
24,0,1,-1,-1,-1,0,-2,0
25,0,1,-1,-1,-1,0,-2,0
26,0,1,-1,-1,-1,0,-2,0
27,-1,1,-1,2,0,0,-1,-1
28,-1,1,-1,2,0,0,-1,-1
29,-1,1,-1,2,0,0,-1,-1
30,-1,1,-1,2,0,0,-1,-1
31,0,-2,1,-2,-2,0,1,0
32,0,-2,1,-2,-2,0,1,0
33,0,-2,1,-2,-2,0,1,0
34,-2,-2,0,0,-1,0,-1,-1
35,1,-1,0,0,-1,-1,-2,-1
36,1,-1,0,0,-1,-1,-2,-1
37,1,-1,0,0,-1,-1,-2,-1
38,-2,-2,-2,-1,0,-2,-2,0
39,-2,-2,-2,-1,0,-2,-2,0
40,-2,-2,-2,-1,0,-2,-2,0
41,-2,-2,-2,-1,0,-2,-2,0
42,-2,-2,-2,-1,0,-2,-2,0
43,-1,-1,-1,-3,0,-1,0,0
44,-1,-1,-1,-3,0,-1,0,0
45,0,-1,0,1,-2,0,-1,0
46,0,-1,0,1,-2,0,-1,0
47,-1,0,0,-1,-1,-1,1,-2
48,-1,0,0,-1,-1,-1,1,-2
49,-1,0,0,-1,-1,-1,1,-2
50,-1,-2,-2,-1,-2,-2,-1,0
51,-1,-2,-2,-1,-2,-2,-1,0
52,-1,-2,-2,-1,-2,-2,-1,0
53,-1,0,-1,-1,-1,1,0,-2
54,-1,0,-1,-1,-1,1,0,-2
55,0,0,0,1,0,-1,-1,0
56,-1,1,0,-3,-1,0,0,-1
57,-2,-4,-2,-1,-1,1,-2,-1
58,-2,-4,-2,-1,-1,1,-2,-1
59,-2,-4,-2,-1,-1,1,-2,-1
60,-2,-1,0,-1,-2,0,0,1
61,-2,-1,0,-1,-2,0,0,1
62,-2,-1,0,-1,-2,0,0,1
63,-2,-1,0,-1,-2,0,0,1
64,-2,-1,0,-1,-2,0,0,1
65,0,1,-1,-2,-1,1,1,-1
66,0,0,-1,-1,-1,-2,0,1
67,0,0,-1,-1,-1,-2,0,1
68,-2,-1,-2,-1,-1,-1,-1,-1
69,-2,-1,-2,-1,-1,-1,-1,-1
70,-1,-1,0,-1,0,-1,-1,-1
71,-2,-1,-1,-2,-1,-1,-1,-2
72,-2,-1,-1,-2,-1,-1,-1,-2
73,-2,-1,-1,-2,-1,-1,-1,-2
74,0,0,-2,0,0,-2,-2,-2
75,0,0,-2,0,0,-2,-2,-2
76,0,0,-2,0,0,-2,-2,-2
