time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,-1,0,0,0,0,0,0
1,-1,-1,0,0,-1,0,0,0
2,-1,-1,0,0,-1,0,0,0
3,-1,-1,0,0,-2,0,0,0
4,-1,-1,0,0,-2,0,0,0
5,-1,-1,0,0,0,0,-2,0
6,-1,-1,0,0,0,0,-2,0
7,-1,-1,0,0,0,0,-2,0
8,0,0,0,0,0,0,-1,0
9,0,0,0,0,0,0,-1,0
10,0,0,-1,-1,-1,0,0,-2
11,0,0,-1,-1,-1,-1,0,-2
12,0,0,-1,-1,0,-1,0,-2
13,0,0,-1,-1,0,-1,0,-2
14,0,0,-1,-1,0,-1,0,-2
15,-1,0,0,-2,-1,0,0,0
16,-1,0,0,-2,-1,0,0,0
17,-1,0,0,-2,-1,0,0,0
18,-1,0,0,-2,-1,0,0,0
19,-1,0,0,-2,-1,0,0,0
20,0,0,0,-1,-1,0,-2,0
21,0,0,0,-1,-1,0,-2,0
22,0,0,0,-1,-1,0,-2,0
23,0,0,0,-1,-1,0,-2,0
24,0,0,0,-1,-1,0,-2,0
25,0,1,-1,0,0,0,-1,0
26,0,1,-1,1,0,0,-1,0
27,0,1,-1,1,0,0,-1,0
28,0,1,-1,1,0,0,-1,0
29,0,1,-1,1,0,0,-1,0
30,0,-2,0,-1,-1,0,0,0
31,0,-2,0,-1,-1,0,0,0
32,0,-2,0,-1,-1,0,0,0
33,0,-2,0,-1,-1,0,0,0
34,0,-2,0,-1,-1,0,0,0
35,0,-1,0,0,0,-1,-2,0
36,0,-1,0,0,0,-1,-2,0
37,0,-1,-1,0,0,-1,-2,0
38,-1,-1,-1,0,0,-1,-2,0
39,-1,-1,-1,0,0,-1,-2,0
40,-1,-1,-1,-1,0,-1,-1,0
41,-1,-1,-1,-1,0,-1,-1,0
42,-1,-1,-1,-1,0,-1,0,0
43,0,-1,0,-1,0,0,0,0
44,0,-1,0,-1,0,0,0,0
45,0,0,0,0,-1,0,0,-1
46,0,0,0,0,-1,0,0,-1
47,0,0,0,0,-1,-1,0,-1
48,0,0,0,0,-1,-1,0,-1
49,0,0,0,0,-1,-1,0,-1
50,0,-1,-1,0,-1,-1,0,0
51,0,-1,-1,0,-1,0,0,0
52,0,0,-1,0,-1,0,0,0
53,0,0,0,0,0,0,0,0
