time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,1,0,-1,-3,-2,-3,5,8
1,-1,-1,0,1,-4,0,1,0
2,-1,-1,0,1,-4,0,1,0
3,-1,-1,0,1,-4,0,1,0
4,0,0,-2,0,-1,1,1,-5
5,0,0,-2,0,-1,1,1,-5
6,-2,1,-2,-2,-1,-1,-3,-3
7,-2,1,-2,-2,-1,-1,-3,-3
8,-2,1,-2,-2,-1,-1,-3,-3
9,-1,-2,0,-2,0,-2,3,2
10,-1,-2,0,-2,0,-2,3,2
11,-2,-2,-1,-1,1,7,0,2
12,-2,-2,-1,-1,1,7,0,2
13,-2,-2,-1,-1,1,7,0,2
14,-2,-2,-1,-1,1,7,0,2
15,-3,0,-2,-1,1,-3,-2,-4
16,-3,0,-2,-1,1,-3,-2,-4
17,1,-1,-1,-1,-1,-2,1,1
18,-1,-1,0,-1,1,-1,4,6
19,-2,-1,0,0,-1,-2,-3,-12
20,-2,-1,0,0,-1,-2,-3,-12
21,-4,-1,-1,1,-1,0,-2,-1
22,-1,0,0,-1,-2,-1,-2,6
23,-1,0,0,-1,-2,-1,-2,6
24,0,0,-1,2,0,-1,-1,0
25,0,0,-1,2,0,-1,-1,0
26,0,0,-1,-1,-1,3,0,1
27,0,-2,-2,-2,-2,-2,-2,-5
28,0,-2,-2,-2,-2,-2,-2,-5
29,0,-1,-1,-1,0,-1,3,7
30,0,-1,-1,-1,0,-1,3,7
31,-1,-2,-1,-3,-1,-1,0,0
32,-1,-2,-1,-3,-1,-1,0,0
33,-1,0,-1,0,0,0,-2,-1
34,-1,0,-1,0,0,0,-2,-1
35,-2,0,-2,-1,-3,-2,-2,-3
36,-2,0,-2,-1,-3,-2,-2,-3
37,-2,0,-2,-1,-3,-2,-2,-3
38,-2,0,-2,-1,-3,-2,-2,-3
39,1,0,0,-1,0,-1,-2,-1
40,-1,0,-1,-1,-4,0,2,-1
41,-1,0,-1,-1,-4,0,2,-1
42,-1,0,-1,-1,-4,0,2,-1
43,0,0,-1,-1,1,0,0,-1
